Artist,Country
...And Oceans,Finland
40 Watt Sun,United Kingdom
65daysofstatic,United Kingdom
90 Day Men,United States
:Of The Wand & The Moon:,Denmark
A Lot Like Birds,United States
A Perfect Circle,United States
A Place to Bury Strangers,United States
A Pregnant Light,United States
A Tribe Called Quest,United States
A.A.Williams,United Kingdom
AC/DC,Australia
AFX,United Kingdom
ALEX & TOKYO ROSE,United States
AMENRA,Belgium
ATL,United States
Aara,Switzerland
Abigail Williams,United States
Acid Bath,United States
Actress,United Kingdom
Aerosmith,United States
Agalloch,United States
Agent Fresco,Iceland
Ah Cama-Sotz,Belgium
Air,France
Airbag,Norway
Alcest,France
Alexisonfire,Canada
Alice In Chains,United States
All Shall Perish,United States
Allen / Lande,International
Allie X,Canada
Also Eden,United Kingdom
Altar of Plagues,Ireland
Alva Noto,Germany
Alva Noto & Ryuichi Sakamoto,Germany and Japan
Amarok,Poland
Ambrose Akinmusire,United States
Amelie Lens,Belgium
American Football,United States
American Head Charge,United States
Amesœurs,France
Amon Tobin,Brazil
Amorphis,Finland
Amy Macdonald,United Kingdom
Anacondaz,Russia
Anathema,United Kingdom
And So I Watch You From Afar,United Kingdom
Andrew Bayer,United States
Andrew Lloyd Webber & Tim Rice,United Kingdom
Andy Stott,United Kingdom
Anekdoten,Sweden
Anfisa Letyago,Russia
Angel Olsen,United States
Anglagard,Sweden
Animal Collective,United States
Animal ДжаZ,Russia
Animals As Leaders,United States
Annihilator,Canada
Annisokay,Germany
Ansome,United Kingdom
Anthony Linell,Sweden
Antimatter,United Kingdom
Anubis,Australia
Aphex Twin,United Kingdom
Apparat,Germany
Arab Strap,United Kingdom
Arca,Venezuela
Arcade Fire,Canada
Arcadea,United States
Arch Enemy,Sweden
Architect,Germany
Architects,United Kingdom
Archive,United Kingdom
Archspire,Canada
Arctic Monkeys,United Kingdom
Arcturus,Norway
Arditi,Sweden
Arena,United Kingdom
Argovia,Switzerland
Argyle Park & Circle of Dust,United States
Art Pepper,United States
Artillery,Denmark
Asia,United Kingdom
Asking Alexandria,United Kingdom
Assemblage 23,United States
Astral Projection,Israel
Astronoid,United States
At The Gates,Sweden
At the Drive-In,United States
Atheist,United States
Atmosphere,United States
"""Atmosphere, Slug & Ant""",Unknown
Atreyu,United States
Audioslave,United States
August Burns Red,United States
Austere,Australia
Autechre,United Kingdom
Avantasia,Germany
Avatar,Sweden
Avenged Sevenfold,United States
Axel Rudi Pell,Germany
Ayreon,Netherlands
Azu Tiwaline,Tunisia
BADBADNOTGOOD,Canada
BANKS,United States
BIG SPECIAL,United Kingdom
Baby Strange,United Kingdom
Bad Omens,United States
Bad Sector,Italy
Bad Wolves,United States
Band of Skulls,United Kingdom
Bark Psychosis,United Kingdom
Barker,United Kingdom
Baroness,United States
Basic Channel,Germany
Bat for Lashes,United Kingdom
Bathory,Sweden
Bauhaus,United Kingdom
Baxter Dury,United Kingdom
Bayside,United States
Be'lakor,Australia
Beach House,United States
Beardfish,Sweden
Beartooth,United States
Beastie Boys,United States
Beck,United States
Been Stellar,United States
Behemoth,Poland
Being As An Ocean,United States
Belle and Sebastian,United Kingdom
Ben Frost,Australia
Bent Knee,United States
Berliner Philharmoniker,Germany
Beth Gibbons,United Kingdom
Beth Hart,United States
Better Lovers,United States
Between the Buried and Me,United States
Biffy Clyro,United Kingdom
Big Big Train,United Kingdom
Big Brave,Canada
Big Star,United States
Billie Eilish,United States
Billy Corgan,United States
Billy Joel,United States
Billy Talent,Canada
Biohazard,United States
Biosphere,Norway
Bipolar Architecture,Turkey
Birds In Row,France
Björk,Iceland
Bjørn Riis,Norway
"""Black Country, New Road""",Unknown
Black Flag,United States
Black Foxxes,United Kingdom
Black Label Society,United States
Black Sabbath,United Kingdom
Blackbraid,United States
Blackfield,Israel
Blawan,United Kingdom
Blazing Eternity,Denmark
Bleachers,United States
Blind Ego,Germany
Blind Equation,United States
Blind Guardian,Germany
Bloc Party,United Kingdom
Blood Incantation,United States
Blur,United Kingdom
Boards of Canada,United Kingdom
Bob Dylan,United States
Bohren & Der Club of Gore,Germany
Bola,United Kingdom
Bon Iver,United States
Bon Jovi,United States
Boris Brejcha,Germany
Bossk,United Kingdom
Boston Manor,United Kingdom
Botanist,United States
Botch,United States
Brad,United States
Brand New,United States
Breaking Benjamin,United States
Brian Eno,United Kingdom
Bring Me The Horizon,United Kingdom
Broken Bells,United States
Bruce Dickinson,United Kingdom
Bruce Soord,United Kingdom
Bruce Springsteen,United States
Brutus,Belgium
Bryan Ferry,United Kingdom
Buckcherry,United States
Buckethead,United States
Bullet for My Valentine,United Kingdom
Burial,United Kingdom
Buried In Verona,Australia
Bury Tomorrow,United Kingdom
Burzum,Norway
Bush,United Kingdom
CELESTE,France
Cabaret Voltaire,United Kingdom
Cage the Elephant,United States
Caliban,Germany
Calibre,United Kingdom
Camilla George,United Kingdom
Can,Germany
Candlebox,United States
Candlemass,Sweden
Carach Angren,Netherlands
Carcass,United Kingdom
Carly Rae Jepsen,Canada
Carnifex,United States
Caroline Polachek,United States
Casey,United Kingdom
Caspian,United States
Cassy,United Kingdom
Cat Power,United States
Category 7,United States
Catfish and the Bottlemen,United Kingdom
Charlotte de Witte,Belgium
Chartreuse,United Kingdom
Chat Pile,United States
Chelsea Grin,United States
Chelsea Wolfe,United States
Chevelle,United States
Childish Gambino,United States
Chimaira,United States
Chris Cornell,United States
Chris Rea,United Kingdom
Christian Death,United States
Cigarettes After Sex,United States
Cindy Lee,Canada
Circa Waves,United Kingdom
City and Colour,Canada
Clairo,United States
Clap Your Hands Say Yeah,United States
Clawfinger,Sweden
"""Clipse, Pusha T & Malice""",Unknown
Cloudkicker,United States
Cocteau Twins,United Kingdom
Coheed and Cambria,United States
Coil,United Kingdom
Coilguns & Birds In Row,Switzerland
Colin Stetson,United States
Colony 5,Sweden
Combat Astronomy,United Kingdom
Come to Grief,United States
Comeback Kid,Canada
Company Flow,United States
Converge,United States
Converge & Chelsea Wolfe,United States
Coroner,Switzerland
Corrosion of Conformity,United States
Cosmograf,United Kingdom
Cradle of Filth,United Kingdom
Crematory,Germany
Crimson Glory,United States
Crippled Black Phoenix,United Kingdom
Crystal Castles,Canada
Cult of Luna,Sweden
