Artist,Album,Track,Year,Genre,Duration (min)
Teenage Jesus & The Jerks,NY No Wave,The Closet,1979,Alternative,2.91
Swans,Filth (Deluxe Edition),Power for Power,1983,Alternative,5.87
Flipper,Album - Generic Flipper,Sex Bomb,1982,Alternative,7.82
Live Skull,Live Skull (2023 Remastered Version) - EP,Mr. Evil (2023 Remastered Version),1984,Alternative,3.97
Butthole Surfers,Locust Abortion Technician (2024 Remaster),Sweat Loaf (2024 Remaster),1987,Alternative,5.19
Butthole Surfers,Locust Abortion Technician (2024 Remaster),Graveyard (2024 Remaster),1987,Alternative,2.41
Big Black,Atomizer (Remastered),Kerosene,1985,Alternative,6.07
Sonic Youth,Daydream Nation (2012 Remastered Version),Silver Rocket (2012 Remastered Version),1988,Alternative/Noise Rock,3.80
Scratch Acid,S/T EP (Remastered),Cannibal (Remastered),2025,Indie Rock,2.41
Head Of David,Dustbowl,Dog Day Sunrise,1988,Grunge,4.02
The Jesus Lizard,Goat (Remaster / Reissue),Mouth Breather,1990,Alternative,2.28
Killdozer,Snakeboy,King of Sex,1985,Alternative,3.54
Killdozer,Twelve Point Buck,Lupus,1987,Alternative,3.15
Laughing Hyenas,Life of Crime,Wild Heart,1990,Alternative,3.37
Tar,Jackson,Short Trades,1991,Alternative,3.93
Steel Pole Bath Tub,The Miracle of Sound In Motion,Borstal,1993,Alternative,4.72
Laughing Hyenas,Merry Go Round,Candy,1987,Alternative,2.74
Unsane,"Scattered, Smothered & Covered",Scrape,1995,Alternative,3.17
Cherubs,Heroin Man,Blackhouse,1994,Rock,2.45
Hammerhead,Evil Twin,Evil Twin,1993,Rock,1.75
Zeni Geva,Desire for Agony,Desire for Agony,1993,Alternative,2.71
Fudge Tunnel,Hate Songs In E Minor,Hate Song,1991,Rock,5.48
Helmet,Unsung: The Best of Helmet 1991-1997,Repetition,1990,Hard Rock,3.00
