Artist,Album,Track,Year,Genre,Duration (min)
Lustmord,Heresy,Heresy Part 1,1990,Alternative,7.41
Thomas Köner,Permafrost,Permafrost,1993,Electronic,10.16
B. Lustmord & Robert Rich,Stalker,Omnipresent Boundary,1995,New Age,15.03
Bad Sector,Ampos,Ampos,1995,Electronica,5.41
Rapoon,Miracle Steps (Music from the Fourth World 1983-2017),The Same River Once,1996,Electronic,10.52
Sleep Research Facility,Nostromo,A-Deck,2001,Electronic,14.01
vidnaObmana,Tremor,Tremor,2001,Rock,8.17
Kammarheit,The Starwheel,Hypnagoga,2005,Electronic,4.14
Kammarheit,The Starwheel,Spatium,2005,Electronic,4.83
Kammarheit,The Starwheel,The Starwheel (Clockwise),2005,Electronic,6.52
Sephiroth,Cathedron,Cathedron,2025,Ambient,12.87
Atrium Carceri,Cellblock,Halls of Steam,2003,Electronic,4.97
Atrium Carceri,The Untold,The Untold,2013,Downtempo,9.60
Atrium Carceri,The Untold,Great Old One,2013,Downtempo,8.89
Raison d'Être,"In Sadness, Silence and Solitude (Expanded Edition 2021)",Reflecting in Shadows,1997,Electronic,8.91
Raison d'Être,"In Sadness, Silence and Solitude (Expanded Edition 2021)",In Absence of Light,1997,Electronic,5.03
Halo Manash,Taiwaskivi,"Crossing-Over, Wings Rise Radiant",2009,Alternative,6.57
Halo Manash,Taiwaskivi,"Summoning, Toward Cardinal Points, Into All Worlds",2009,Alternative,10.53
INADE,The Incarnation of Solar Architects,The Engine of the Mind,2010,Electronic,8.18
Northaunt,Horizons,The Wilderness,2006,Electronic,11.54
Phelios,Gates of Atlantis,Gates of Atlantis,2013,Electronica,5.58
