Artist,Album,Track,Year,Genre,Duration (min)
Animal ДжаZ,Animalизм,Аравика,2002,Indie Rock,4.15
Animal ДжаZ,Шаг вдох,Двое,2007,Indie Rock,4.24
Animal ДжаZ,Шаг вдох,Шаг вдох,2007,Indie Rock,4.21
Animal ДжаZ,Шаг вдох,Двойной ценой,2007,Indie Rock,3.06
Animal ДжаZ,Фаза быстрого сна,Прощай,2013,Indie Rock,4.24
Animal ДжаZ,Фаза быстрого сна,В серебре,2013,Indie Rock,4.24
Animal ДжаZ,Фаза быстрого сна,Паук,2013,Indie Rock,4.02
Animal ДжаZ,Фаза быстрого сна,Жить,2013,Indie Rock,6.23
Animal ДжаZ,Фаза быстрого сна,Любовь,2013,Indie Rock,3.72
Animal ДжаZ,Хранитель весны,Здесь и сейчас,2015,Alternative,4.16
Animal ДжаZ,Хранитель весны,Родная,2015,Alternative,3.88
Animal ДжаZ,Хранитель весны,Хранитель весны,2015,Alternative,6.30
Animal ДжаZ,Хранитель весны,Гудбай,2015,Alternative,4.07
Animal ДжаZ,Счастье,Питер,2017,Alternative,5.05
Animal ДжаZ,Счастье,Волшебный корабль,2016,Alternative,3.98
Animal ДжаZ,Счастье,Звук и тишина,2018,Alternative,4.47
Animal ДжаZ,Счастье,Километры,2018,Alternative,3.50
Animal ДжаZ,Счастье,К тебе,2018,Alternative,4.84
Animal ДжаZ,Счастье,Счастье,2018,Alternative,3.34
Animal ДжаZ,Время любить,Так надо,2019,Alternative,4.37
Animal ДжаZ,Время любить,Чувства,2019,Alternative,3.76
Animal ДжаZ,Корни,Оранжевый Дао,2023,Alternative,5.09
Animal ДжаZ,Корни,Бблюз,2023,Alternative,3.23
Animal ДжаZ,Ян,Рядом с тобой,2024,Alternative,3.61
Animal ДжаZ,Ян,Танцуй,2024,Alternative,3.86
