Artist,Album,Track,Year,Genre,Duration (min)
Archive,Take My Head,You Make Me Feel,1999,-,4.10
Archive,You All Look the Same to Me,Again,2002,Alternative,16.31
Archive,You All Look the Same to Me,Meon,2002,Pop,5.72
Archive,Noise,Fuck U,2004,Alternative,5.20
Archive,Noise,Pulse,2004,Electronic,4.84
Archive,Noise,Waste,2004,Alternative,9.96
Archive,Lights,Lights,2006,-,18.48
Archive,Controlling Crowds (Parts I-III),Bullets,2009,Alternative,5.89
Archive,Controlling Crowds (Parts I-III),Whore,2009,Electronic,4.17
Archive,Controlling Crowds (Part IV),Pills,2009,-,4.25
Archive,Controlling Crowds (Part IV),Come On Get High,2009,-,4.69
Archive,With Us Until You're Dead,Damage,2012,-,6.83
Archive,Axiom,Distorted Angels,2014,-,3.38
Archive,Axiom,Axiom,2014,-,10.00
Archive,Axiom,Baptism,2014,-,5.04
Archive,Restriction,Restriction,2015,-,4.00
Archive,Restriction,Kid Corner,2015,-,3.66
Archive,Restriction,Riding in Squares,2015,-,6.58
Archive,Restriction,Crushed,2015,-,5.92
Archive,The False Foundation,The False Foundation,2016,-,4.46
Archive,The False Foundation,Splinters,2016,-,5.04
