Artist,Album,Track,Year,Genre,Duration (min)
Assemblage 23,Contempt,Surface,1999,Dance,5.08
Assemblage 23,Addendum,Let Me Be Your Armor,2001,Electronic,4.43
Assemblage 23,Failure,Naked,2001,Electronic,6.03
Assemblage 23,Failure,House On Fire,2001,Electronic,4.92
Assemblage 23,Failure,Disappoint,2001,Electronic,5.57
Assemblage 23,Defiance,Opened,2002,Electronic,5.94
Assemblage 23,Defiance,Document,2002,Electronic,5.27
Assemblage 23,STORM,LET the WIND ERASE ME (ALBUM VERSION),2004,Electronic,4.77
Assemblage 23,Meta,Damaged,2007,Electronic,6.02
Assemblage 23,Compass (Deluxe Edition),Spark (Burikusu RMX),2009,Electronic,5.61
Assemblage 23,Compass (Deluxe Edition),Alive,2009,Electronic,5.78
Assemblage 23,Bruise (Limited Edition),The Last Mistake,2012,Electronic,4.93
Assemblage 23,Endure (Deluxe Edition),Afterglow,2016,Industrial,4.66
Assemblage 23,Endure (Deluxe Edition),Salt the Earth,2016,Industrial,4.60
Assemblage 23,Endure (Deluxe Edition),Barren,2016,Industrial,5.02
Assemblage 23,Endure (Deluxe Edition),December (Neuroticfish Remix),2016,Industrial,5.22
