Artist,Album,Track,Year,Genre,Duration (min)
Bathory,Blood Fire Death,Oden Ride Over Nordland,1988,Metal,3.01
Bathory,Hammerheart,Valhalla,1990,Metal,9.58
Bathory,Hammerheart,One Rode to Asa Bay,1990,Metal,9.14
Bathory,Twilight of the Gods,Twilight of the Gods,1991,Metal,11.07
Bathory,Blood on Ice,Man of Iron,1996,Metal,2.55
Bathory,Blood on Ice,The Woodwoman,1996,Metal,6.30
Bathory,Blood on Ice,The Lake,1996,Metal,6.70
Bathory,Destroyer of Worlds,Ode,2001,Metal,6.46
Bathory,Destroyer of Worlds,Day of Wrath,2001,Metal,8.20
Bathory,Nordland I,Nordland,2002,Rock,9.35
Bathory,Nordland II,Blooded Shore,2003,Metal,5.60
Bathory,Nordland II,Vinland,2003,Metal,6.61
Bathory,Nordland II,The Wheel of Sun,2003,Metal,12.37
