Artist,Album,Track,Year,Genre,Duration (min)
Brainstorm,Unholy,Voices (Remastered),2007,Rock,6.50
Brainstorm,Unholy,For the Love of Money (Remastered),2007,Rock,5.49
Brainstorm,Metus Mortis,Hollow Hideaway,2001,Rock,4.42
Brainstorm,Liquid Monster,Lifeline,2005,Rock,3.08
Brainstorm,Memorial Roots,The Final Stages of Decay,2009,Metal,6.45
Brainstorm,On the Spur of the Moment,Temple of Stone,2011,Metal,3.44
Brainstorm,On the Spur of the Moment,In These Walls,2011,Metal,5.37
Brainstorm,Firesoul,Entering Solitude,2014,Metal,4.86
Brainstorm,Firesoul,Feed Me Lies,2014,Metal,4.86
Brainstorm,Firesoul,...And I Wonder,2014,Metal,5.50
Brainstorm,Scary Creatures,We Are...,2015,Metal,5.48
Brainstorm,Scary Creatures,Twisted Ways,2016,Metal,5.41
Brainstorm,Scary Creatures,Caressed by the Blackness,2016,Metal,4.52
Brainstorm,Scary Creatures,Sky Among the Clouds,2016,Metal,5.07
