Artist,Album,Track,Year,Genre,Duration (min)
Coheed and Cambria,The Father of Make Believe,Yesterday's Lost,2025,-,3.40
Coheed and Cambria,The Father of Make Believe,"Goodbye, Sunshine",2025,-,4.27
Coheed and Cambria,Vaxis II: A Window of the Waking Mind,Shoulders,2022,-,3.41
Coheed and Cambria,The Afterman: Ascension,Key Entity Extraction I: Domino the Destitute,2012,-,7.85
Coheed and Cambria,The Father of Make Believe,Blind Side Sonny,2024,-,2.38
Coheed and Cambria,The Father of Make Believe,Searching for Tomorrow,2024,-,3.56
Coheed and Cambria,In Keeping Secrets of Silent Earth: 3,A Favor House Atlantic,2003,-,3.91
Coheed and Cambria,The Second Stage Turbine Blade (Re-Issue),Everything Evil,2002,-,5.85
Coheed and Cambria,The Father of Make Believe,Someone Who Can,2025,-,3.75
Coheed and Cambria,Vaxis II: A Window of the Waking Mind,The Liars Club,2022,-,3.81
Coheed and Cambria,In Keeping Secrets of Silent Earth: 3,In Keeping Secrets of Silent Earth: 3,2003,-,8.21
Coheed and Cambria,The Father of Make Believe,Corner My Confidence,2025,-,4.07
Coheed and Cambria,The Father of Make Believe,Play the Poet,2025,-,3.49
Coheed and Cambria,"Good Apollo I'm Burning Star IV, Vol. 1 - From Fear Through the Eyes of Madness",Welcome Home,2005,-,6.25
