Artist,Album,Track,Year,Genre,Duration (min)
David Bowie,Space Oddity (2019 Mix),Space Oddity (2019 Mix),1969,Rock,5.35
David Bowie,Space Oddity (2019 Mix),Cygnet Committee (2019 Mix),1969,Rock,9.63
David Bowie,The Man Who Sold the World (2015 Remaster),All the Madmen (2015 Remaster),1970,Pop,5.72
David Bowie,Hunky Dory (2015 Remaster),Life On Mars?,1971,Rock,3.93
David Bowie,Hunky Dory (2015 Remaster),The Bewlay Brothers,1971,Rock,5.49
David Bowie,Diamond Dogs (2016 Remaster),Sweet Thing,1974,Pop,3.65
David Bowie,Young Americans (2016 Remaster),Fascination,1975,Pop,5.81
David Bowie,Station to Station (2016 Remaster),Station to Station,1976,Pop,10.30
David Bowie,Station to Station (2016 Remaster),Wild Is the Wind,1976,Pop,6.11
David Bowie,"""Heroes"" (2017 Remaster)",Sons of the Silent Age (2017 Remaster),1977,Pop,3.34
David Bowie,Low (2017 Remaster),Sound and Vision,1977,Pop,3.06
David Bowie,Low (2017 Remaster),Always Crashing in the Same Car,1977,Pop,3.59
David Bowie,Low (2017 Remaster),Be My Wife,1977,Pop,2.95
David Bowie,Low (2017 Remaster),Warszawa,1977,Pop,6.46
David Bowie,Scary Monsters (And Super Creeps) [2017 Remaster],Ashes to Ashes,1980,Pop,4.44
David Bowie,Heathen,Slip Away,2002,Rock,6.08
David Bowie,Heathen,Afraid,2002,Rock,3.46
David Bowie,Reality,New Killer Star,2003,Rock,4.68
