Artist,Album,Track,Year,Genre,Duration (min)
Deftones,Adrenaline,Birthmark,1995,Hard Rock,4.31
Deftones,Adrenaline,Engine No. 9,1995,Hard Rock,3.42
Deftones,Around the Fur,My Own Summer (Shove It),1997,Metal/Alternative Metal,3.59
Deftones,Around the Fur,Lhabia,1997,Metal/Alternative Metal,4.19
Deftones,Around the Fur,Be Quiet and Drive (Far Away),1997,Metal/Alternative Metal,5.14
Deftones,Around the Fur,Lotion,1997,Metal/Alternative Metal,3.96
Deftones,White Pony,Digital Bath,2000,Alternative/Experimental Rock,4.26
Deftones,White Pony,Rx Queen,2000,Alternative/Experimental Rock,4.47
Deftones,White Pony,Street Carp,2000,Alternative/Experimental Rock,2.69
Deftones,White Pony,Passenger,2000,Alternative/Experimental Rock,6.15
Deftones,White Pony,Change (In the House of Flies),2000,Alternative/Experimental Rock,4.99
Deftones,White Pony,Pink Maggit,2000,Alternative/Experimental Rock,7.56
Deftones,Deftones,Minerva,2003,Metal/Alternative Metal,4.30
Deftones,Deftones,Deathblow,2003,Metal/Alternative Metal,5.47
Deftones,Saturday Night Wrist,Hole In the Earth,2006,Hard Rock,4.16
Deftones,Saturday Night Wrist,Xerces,2006,Hard Rock,3.70
Deftones,Saturday Night Wrist,Combat,2006,Hard Rock,4.77
Deftones,Diamond Eyes (Deluxe),Diamond Eyes,2010,Metal/Alternative Metal,3.14
Deftones,Diamond Eyes (Deluxe),Prince,2010,Metal/Alternative Metal,3.61
Deftones,Diamond Eyes (Deluxe),Risk,2010,Metal/Alternative Metal,3.65
Deftones,Diamond Eyes (Deluxe),This Place Is Death,2010,Metal/Alternative Metal,3.82
Deftones,Koi No Yokan,Swerve City,2012,Metal/Alternative Metal,2.75
Deftones,Gore,Prayers/Triangles,2016,Metal/Alternative Metal,3.63
Deftones,Ohms,Genesis,2020,Metal/Alternative Metal,5.29
Deftones,Ohms,The Spell of Mathematics,2020,Metal/Alternative Metal,5.46
Deftones,Ohms,Radiant City,2020,Metal/Alternative Metal,3.59
Deftones,Ohms,Ohms,2020,Metal/Alternative Metal,4.17
