Artist,Album,Track,Year,Genre,Duration (min)
Massive Attack,Mezzanine,Angel,1998,Electronic,6.33
The Chemical Brothers,Born in the Echoes,Go,2015,Electronic/Big Beat,4.35
FKA twigs,Eusexua (Anyma Remix) - Single,Eusexua,2024,Electronic,4.39
Lamb,Winter Mix 2021,Trans Fatty Acid (Kruder & Dorfmeister Remix Edit),2003,Pop,6.76
Wax Tailor,Dusty Rainbow from the Dark (Deluxe Version),Down in Flames (feat. Sara Genn),2012,Electronic,4.05
Emancipator,Safe in the Steep Cliffs,Greenland,2010,Electronic,3.18
Tricky,False Idols (Bonus Track Version),Nothing Matters (feat. Nneka),2013,-,3.39
UNKLE,"Never, Never, Land",In a State,2000,Pop,6.96
Morcheeba,Charango,Otherwise,2002,Pop,3.71
Portishead,Dummy,Roads,1994,Downtempo/Trip Hop,5.07
Massive Attack,Blue Lines (2012 Mix/Master),Safe From Harm (2012 Mix/Master),1991,-,5.33
Moby,18,Extreme Ways,2002,Dance,3.96
Telefon Tel Aviv,Fahrenheit Fair Enough,Fahrenheit Fair Enough,2001,IDM/Experimental,6.67
The Future Sound of London,Cascade - EP,"Cascade, Pt. 1",1993,Electronic,7.20
Infected Mushroom,Converting Vegetarians,Shakawkaw,2003,Electronic,4.15
Björk,Family Tree,All Is Full of Love,1997,Electronic,4.77
Delerium,Semantic Spaces,Resurrection,1994,Ambient/Ambient Techno,9.43
Rival Consoles,Odyssey / Sonne,Recovery,2014,Electronic,4.84
Massive Attack,Heligoland,Girl I Love You,2010,-,5.44
