Artist,Album,Track,Year,Genre,Duration (min)
Afrika Bambaataa & The Soul Sonic Force,Planet Rock (Re-Recorded Remixes) [1996 Version] - EP,Planet Rock (Re-Recorded),1982,Electronic,7.64
Hashim,The House of Cutting,Al-Naafiysh (The Soul),1997,Dance,2.84
Man Parrish,"Hip Hop, Be Bop","Hip Hop, Be Bop (Don't Stop)",1982,Electronic,5.67
Newcleus,Destination: Earth - The Definitive Newcleus Recordings,Jam On Revenge (The Wikki Wikki Song),1983,Electronic,5.66
Herbie Hancock,Future Shock,Rockit,1983,Jazz,5.47
Kraftwerk,Computer World (Remastered),Numbers,1981,Electronic,3.34
Cybotron,Clear,Clear,1983,Electronic,4.91
Jonzun Crew,...And You Don't Stop - A Celebration of 50 Years of Hip Hop,"Pack Jam (Look out for the Ovc) [12"" Mix]",2023,Hip-Hop/Rap,6.14
Warp 9,It's a Beat Wave,Nunk (New Wave Funk),1982,Hip-Hop/Rap,7.26
Cybotron,Enter (Deluxe Edition),"Techno City (7"" Mix)",1983,Electronic,4.44
Plant43,Frozen Monarch - Single,Frozen Monarch,2013,Electronic,3.14
Morphology,Twelve 1,TriOptimum,2022,Electronic,7.09
Versalife,Night Time Activities,Panopticon,2011,Electronic,4.67
Jensen Interceptor,M - Ep,Model 2029,2016,Techno,4.99
