Artist,Album,Track,Year,Genre,Duration (min)
Rufige Kru,Reinforced Presents: The Definition of Hardcore,Terminator 2,1993,Electronic,5.11
LTJ Bukem,Producer 01,Music,2001,Electronic,8.82
Remarc,"Jungle Hits, Vol. 1",Ricky,1994,Reggae,4.07
UK Apache & Shy FX,Original Nuttah 25 - Single,Original Nuttah 25,2019,Dance,3.86
Leviticus,Top Dance Hits,Burial,2010,Pop,4.90
DJ Hype,Roll the Beats - Single,Roll The Beats (Inject The Bass Mix),1994,Electronic,5.64
Dead Dred,Dred Bass,Dred Bass,1994,Dance,5.86
Remarc & Bladerunner,Evolution - EP,SoundMurderer (Bladerunner Relick),2018,Dance,5.58
Aquasky,DJ-Kicks (Kruder & Dorfmeister) [DJ Mix],Kauna (Mixed),1996,Electronic,4.06
Big Bud,Late Night Blues,State of Mind,2001,Dance,8.10
Seba & Lo Tek,Producer 06,So Long,2003,Electronic,9.06
Blame,Neptune / Planet Neptune - Single,Planet Neptune,1996,Electronic,5.68
Krust,Warhead / Check Dis Out - Single,Warhead (Steppa Mix),1997,Electronic,8.55
DJ Zinc,"Playaz Digital, Vol. 3",Super Sharp Shooter,2010,Dance,6.45
Dillinja,My Sound (1993-2004),The Angels Fell,2004,Dance,5.92
Roni Size,V Classic,It's Jazzy,1997,Electronic,7.07
Equinox,Acid Rain - Single,Acid Rain,2004,Electronic,8.11
