Artist,Album,Track,Year,Genre,Duration (min)
Epica,Consign To Oblivion (Expanded Edition),Blank Infinity,2005,Metal,4.02
Epica,The Divine Conspiracy,The Divine Conspiracy,2007,Metal,13.94
Epica,Design Your Universe,Unleashed,2009,Metal,5.81
Epica,Design Your Universe,Martyr of the Free Word,2009,Metal,5.05
Epica,Design Your Universe,"Resign to Surrender ~ A New Age Dawns, Pt. 4",2009,Metal,6.32
Epica,Requiem for the Indifferent,Storm the Sorrow,2012,Metal,5.21
Epica,The Quantum Enigma,The Second Stone,2014,Metal,5.00
Epica,The Quantum Enigma,The Essence of Silence,2014,Metal,4.79
Epica,The Holographic Principle,Edge of the Blade,2016,Metal,4.58
Epica,The Holographic Principle,A Phantasmic Parade,2016,Metal,4.60
Epica,The Holographic Principle,Universal Death Squad,2016,Metal,6.64
Epica,The Holographic Principle,Divide and Conquer,2016,Metal,7.81
Epica,The Solace System - EP,Fight Your Demons,2017,Metal,4.49
Epica,Omega,The Skeleton Key,2021,Metal,5.11
Epica,Omega,Seal of Solomon,2021,Metal,5.48
Epica,Omega,Code of Life,2021,Metal,5.98
Epica,Aspiral,Eye of the Storm,2025,Metal,4.72
