Artist,Album,Track,Year,Genre,Duration (min)
Grave Digger,The Reaper,Under My Flag,1993,Rock,4.77
Grave Digger,The Grave Digger,King Pest,2001,Metal,4.14
Grave Digger,Rheingold,Hero,2003,Metal,6.57
Grave Digger,The Last Supper,Grave in the No Man's Land,2005,Metal,4.18
Grave Digger,The Last Supper,Soul Savior,2005,Metal,4.17
Grave Digger,The Last Supper,Crucified,2005,Metal,7.00
Grave Digger,Liberty or Death,Forecourt to Hell,2007,Metal,5.05
Grave Digger,Ballads of a Hangman,Lonely the Innocence Dies,2009,Metal,5.76
Grave Digger,Ballads of a Hangman,Funeral for a Fallen Angel,2009,Metal,4.53
Grave Digger,The Clans Will Rise Again,Valley of Tears,2010,Metal,4.16
Grave Digger,Clash of the Gods,Walls of Sorrow,2012,Metal,4.73
Grave Digger,Return of the Reaper,Tattooed Rider,2014,Metal,4.07
Grave Digger,Return of the Reaper,Season of the Witch,2014,Metal,5.07
Grave Digger,The Living Dead,When Death Passes By,2018,Metal,3.88
Grave Digger,The Living Dead,Shadow of the Warrior,2018,Metal,4.56
Grave Digger,Symbol of Eternity,Hell Is My Purgatory,2022,Metal,3.90
Grave Digger,Symbol of Eternity,Heart of a Warrior,2022,Metal,3.78
