Artist,Album,Track,Year,Genre,Duration (min)
Botch,We Are the Romans,C. Thomas Howell as the “Soul Man” (Demo),1999,-,4.42
Botch,We Are the Romans,Saint Matthew Returns to the Womb,1999,-,3.08
The Dillinger Escape Plan,Calculating Infinity,Sugar Coated Sour,1999,Hardcore/Mathcore,2.40
The Dillinger Escape Plan,Calculating Infinity,43% Burnt,1999,Hardcore/Mathcore,4.52
Coalesce,Functioning on Impatience,You Can't Kill Us All,1998,Metal,3.26
Converge,Jane Doe,Concubine,2001,Hardcore/Mathcore,1.32
Archangel,The Forefather,Vow,2025,Christian Rock,4.32
The Number Twelve Looks Like You,Mongrel,Grandfather,2005,Metal,4.66
Post Malone,Hollywood's Bleeding,Goodbyes (feat. Young Thug),2019,Hip-Hop/Rap,2.91
Norma Jean,Bless the Martyr and Kiss the Child,Memphis Will Be Laid to Waste,2002,Rock,4.93
Mud Mouth,NIGHTMARES,Rolling Shadows,2025,Hip-Hop/Rap,2.72
Animosity,Empires,Shut It Down,2005,Alternative,4.19
Gaza,I Dont Care Where I Go When I Die,Hospital Fat Bags,2006,Alternative,6.94
War from a Harlots Mouth,Transmetropolitan,"If You Want to Blame Us for Something Wrong, Please Abuse This Song!",2007,Rock,1.36
Psyopus,Ideas of Reference,"Death,i...",2004,Alternative,4.97
Ion Dissonance,Breathing Is Irrelevant,The Bud Dwyer Effect,2003,Metal,4.69
See You Next Tuesday,Parasite,"8 Dead, 9 If You Count the Fetus",2007,Rock,1.34
Ed Gein,It's a Shame...,The Marlboro Man Is a Douchebag,2003,Alternative,1.83
Some Girls,Heaven's Pregnant Teens,Hot Piss,2006,Rock,1.06
Frontierer,Unloved,Glitcher,2018,Metal,3.90
Car Bomb,Mordial,Blackened Battery,2019,Metal,4.27
Rolo Tomassi,Where Myth Becomes Memory,The End of Eternity,2022,Metal/Post Metal,6.21
Celestlia,Lost & Gone - Single,Lost & Gone,2024,Rock,4.16
The Armed,ULTRAPOP,ULTRAPOP,2021,Rock,2.72
Plebeian Grandstand,Lowgazers,Mvrk Diving,2014,Death Metal/Black Metal,6.78
The Sawtooth Grin,Cuddlemonster,"Give Me the Amulet, You Bitch",2001,Metal,1.39
Kanye West,ye,Violent Crimes,2018,Hip-Hop/Rap,3.59
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bury a friend,2019,Alternative,3.22
Arsonists Get All the Girls,The Game of Life,Shoeshine for Neptune,2007,Metal,2.88
Logic,YSIV,"Wu Tang Forever (feat. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa & GZA)",2018,Hip-Hop/Rap,8.13
Exotic Animal Petting Zoo,Tree of Tongues,Thorough.Modern,2012,Metal,3.53
The Locust,Plague Soundscapes,The Half - Eaten Sausage Would Like to See You in His Office,2003,Alternative,0.78
The Crinn,Dreaming Saturn,Cathartic Insurrection,2010,Metal,3.82
Guns N' Roses,Appetite for Destruction,Paradise City,1987,Rock/Hard Rock,6.76
Whalefall,Exile From the Deep - Single,Exile From the Deep,2025,Metal,4.72
Into the Moat,The Design,Dead Before I Stray,2005,Rock,2.68
The Chariot,Wars and Rumors of Wars,Evolve:,2009,Metal,2.98
Converge,You Fail Me,Eagles Become Vultures,2004,Metal/Metalcore,2.18
Botch,We Are the Romans,To Our Friends in the Great White North,1999,-,5.19
The Dillinger Escape Plan,Miss Machine,Panasonic Youth,2004,Hardcore/Mathcore,2.45
Car Bomb,Mordial,Scattered Sprites,2019,Metal,3.84
Frontierer,Oxidized,Corrosive Wash,2021,Death Metal/Black Metal,3.46
Rolo Tomassi,Grievances,Raumdeuter,2015,Hard Rock,5.27
Joyner Lucas,Isis (feat. Logic) - Single,Isis (feat. Logic),2019,Hip-Hop,3.93
The Armed,ULTRAPOP,AVERAGE DEATH,2021,Rock,4.53
