Artist,Album,Track,Year,Genre,Duration (min)
Fugazi,13 Songs,Waiting Room,1989,-,2.89
Fugazi,Repeater & 3 Songs,Turnover,1990,Hardcore/Post Hardcore,4.26
Rage Against the Machine,Rage Against the Machine,Bullet In the Head,1992,-,5.16
At the Drive-In,Relationship of Command,Cosmonaut,2000,Hardcore/Post Hardcore,3.39
At the Drive-In,Relationship of Command,Pattern Against User,2000,Hardcore/Post Hardcore,3.30
Thursday,Full Collapse,Understanding In A Car Crash,2001,Rock,4.41
At the Drive-In,Relationship of Command,One Armed Scissor,2000,Hardcore/Post Hardcore,4.34
Brand New,Deja Entendu,The Quiet Things That No One Ever Knows,2003,-,4.03
Motion City Soundtrack,I Am the Movie,The Future Freaks Me Out,2003,Rock,3.61
Taking Back Sunday,Tell All Your Friends (Remastered),Cute Without the 'E' (Cut from the Team),2002,-,3.55
My Chemical Romance,Three Cheers for Sweet Revenge,I'm Not Okay (I Promise),2004,-,3.13
Straylight Run,Straylight Run,Existentialism On Prom Night,2004,Rock,4.02
Underoath,They're Only Chasing Safety,Reinventing Your Exit,2004,-,4.38
Taking Back Sunday,Where You Want To Be,A Decade Under the Influence,2004,Alternative,4.13
Hidden in Plain View,Life In Dreaming,Bleed For You,2005,Alternative,3.86
Escape the Fate,Dying Is Your Latest Fashion,The Guillotine,2006,Rock,4.54
The Academy Is...,Almost Here,The Phrase That Pays,2005,Alternative,3.29
Taking Back Sunday,Tell All Your Friends (Remastered),You're So Last Summer,2002,-,3.02
Jimmy Eat World,Futures,Kill,2004,Alternative,3.81
Straylight Run,Straylight Run,The Tension And The Terror,2004,Rock,3.66
Armor for Sleep,What To Do When You Are Dead,Car Underwater,2005,Rock,3.81
Hawthorne Heights,The Silence In Black And White (Re-Issue),Ohio Is For Lovers,2004,Rock,4.07
From First to Last,"Dear Diary, My Teen Angst Has a Body Count",Note to Self,2004,Rock,3.90
AFI,Sing the Sorrow,"The Leaving Song, Pt. 2",2003,Rock,3.52
The Used,Lies for the Liars,The Bird and the Worm,2004,Rock,3.75
The Used,In Love and Death,All That I've Got,2004,-,3.98
The Used,The Used,Buried Myself Alive,2002,Alternative,4.04
From Autumn to Ashes,The Fiction We Live,The After Dinner Payback,2004,Rock,2.85
Silverstein,Discovering The Waterfront,Smile In Your Sleep,2005,Rock,3.23
The Fall of Troy,Doppelganger,F.C.P.R.E.M.I.X.,2005,Hardcore/Post Hardcore/Mathcore,3.96
Chiodos,Chiodos: The Essential Collection,"Baby, You Wouldn't Last a Minute on the Creek",2005,Rock,4.68
Chiodos,All's Well That Ends Well (Deluxe Edition),There's No Penguins In Alaska,2005,Rock,4.56
A Day to Remember,Homesick,The Downfall Of Us All,2009,Rock,3.48
Underoath,I've Got Ten Friends and a Crowbar That Says You Ain't Gonna Do Jack - Single,I've Got Ten Friends and a Crowbar That Says You Ain't Gonna Do Jack,2005,Rock,5.01
letlive.,Fake History,Muther,2010,Alternative,5.67
The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (2012 Remastered),Bullet With Butterfly Wings (Remastered 2012),1995,Alternative/Alternative Rock,4.31
La Dispute,Somewhere at the Bottom of the River Between Vega and Altair (10th Anniversary),Such Small Hands,2008,Hardcore/Post Hardcore/Screamo,1.59
Krosis,Duplicity - Single,Duplicity,2019,Death Metal/Black Metal,5.18
Thursday,Full Collapse,Cross Out The Eyes,2001,Rock,4.14
Brand New,Your Favorite Weapon (Deluxe Edition),Seventy Times 7,2001,Alternative,3.56
Brand New,Deja Entendu,Sic Transit Gloria ... Glory Fades,2003,-,3.11
This Will Destroy You,Young Mountain,Quiet,2006,Alternative,4.89
A Day to Remember,Homesick,"I'm Made Of Wax, Larry, What Are You Made Of?",2009,Rock,3.01
A Skylit Drive,Wires... And the Concept of Breathing,Wires and the Concept of Breathing,2008,Alternative,2.51
The Devil Wears Prada,With Roots Above and Branches Below,Dez Moines,2009,Metal/Metalcore,4.06
The Dillinger Escape Plan,Option Paralysis,"Farewell, Mona Lisa",2010,Metal,5.39
Pierce the Veil,Selfish Machines,Caraphernelia,2010,Alternative,4.47
Pierce the Veil,Collide with the Sky,King for a Day,2012,Alternative,3.94
