Artist,Album,Track,Year,Genre,Duration (min)
Autechre,Lp5,Rae,1998,IDM/Glitch,7.23
Boards of Canada,Hi Scores 2014 Edition - EP,Everything You Do Is a Balloon - 2014,1996,Electronic,6.99
Bola,Fyuti,Veronex Cypher,2001,-,5.35
Kettel,My Dogan,My Dogan,2006,Electronic,4.79
Ochre,A Midsummer Nice Dream,Seesoar,2004,Electronic,5.25
Proem,Negativ,Skylup,2001,Electronica,4.58
Secede,Tryshasla,Born in a Tropical Swamp,2005,Electronic,9.48
ISAN,Glow In the Dark Safari Set,Grisette,2010,Electronic,3.49
Loscil,First Narrows,First Narrows,2004,Electronic,10.32
Lusine,Serial Hodgepodge,Drip,2004,Electronic,2.44
Kiln,Dusker,Rustdusk,2007,Electronic,4.72
Monolake,Cinemascope,Indigo,2001,Electronic,8.63
Aphex Twin,Selected Ambient Works 85-92,Xtal,1992,IDM/Ambient IDM,4.90
Aphex Twin,Selected Ambient Works Volume II (Expanded Edition),Rhubarb Orc. 19.53 Rev,2015,Ambient,6.70
Aphex Twin,Drukqs,Avril 14th,2001,IDM/Glitch,2.09
Autechre,Tri Repetae,Rotar,1995,IDM/Click'n'cuts,8.07
Autechre,Confield,Pen Expers,2001,IDM/Post IDM,7.14
Squarepusher,Go Plastic,Tommib,2001,Electronic,1.32
Squarepusher,Port Rhombus - EP,Port Rhombus,1996,Electronic,6.82
µ-Ziq,Lunatic Harness,Hasty Boom Alert,1997,IDM/Braindance,5.25
Plaid,Scintilli,Tender Hooks,2011,Electronic,4.53
Arovane,Atol Scrap (2021 Remaster),Thaem Nue (2021 Remaster),2000,Electronica,7.49
Kiasmos,Blurred,Blurred,2017,Electronic,5.09
The Future Sound of London,Accelerator,Papua New Guinea,1991,Dance,6.75
The Future Sound Of London,Lifeforms,Cascade,1994,Ambient/Psybient,6.00
Monolake,Ghosts,Toku,2012,Alternative,5.71
Helios,Eingya,Halving The Compass,2006,Electronic,5.44
Rival Consoles,Odyssey / Sonne,Helios,2014,Electronic,5.03
Helios,Eingya,Bless This Morning Year,2006,Electronic,6.03
Arovane,Tides (2022 Remaster),Theme (2022 Remaster),2000,Electronica,3.68
Kettel & Secede,Tryshasla,Leraine,2005,Electronic,7.75
Ochre,Lemodie,Open Top,2006,Electronic,4.90
The Flashbulb,Red Extensions of Me,Lucid Bass II,2003,Dance,8.73
Arovane,Tides (2022 Remaster),Tides (2022 Remaster),2000,Electronica,5.55
Bola,Mauver - EP,Vespers,2000,Electronic,6.88
Arovane,Lilies (2023 Remaster),Lilies (2023 Remaster),2015,Electronica,5.45
Slag Boom Van Loon,So Soon,Poppy Seed (Boards Of Canada Remix),2001,Electronic,6.93
