Artist,Album,Track,Year,Genre,Duration (min)
Aphex Twin,...I Care Because You Do,Alberto Balsalm (1994),1995,Electronic,5.18
Autechre,Tri Repetae,Clipper,1995,IDM/Click'n'cuts,8.57
The Black Dog,Spanners,Raxmus,1995,Electronic,3.06
B12,Electro Soma,Mondrin,1993,Electronic,6.70
Plaid,Rest Proof Clockwork,Ralome (feat. Benet Walsh),1905,Electronic,4.49
µ-Ziq,Royal Astronomy,The Fear,1999,Electronic,4.41
Boards of Canada,Music Has the Right to Children,Roygbiv,1998,Downtempo/Glitch Downtempo,2.53
Jega,Type Xer0 - EP,Naem,1998,Electronic,3.34
Bola,Soup,Aguilla,1998,Electronic,6.40
CiM,Reference,Reference,2022,Electronic,2.79
Gimmik,News from the Past,Scope,2002,Electronic,4.48
Abfahrt Hinwil,Links Berge Rechts Seen,Tech7,2001,Electronic,3.93
Multiplex,Pinghaus Frequencies,Lextik,2002,Electronica,2.94
Bochum Welt,Feelings on a Screen - EP,Greenwich (Like a Tim Micromix),1998,Electronic,1.65
