Artist,Album,Track,Year,Genre,Duration (min)
Autechre,Anvil Vapre,Second Bad Vilbel,1995,Electronic,9.79
Drexciya,Harnessed the Storm,Digital Tsunami,2001,Electronic,6.37
Bochum Welt,Transmission Two,Greenwich (Mix 2),2020,Electronic,2.97
The Advent,Sketched for Life,Sketch 3,2002,Electronic,5.70
Anthony Rother,This Is Electro,Red Light District,1998,Electronic,6.90
µ-Ziq,Bilious Paths,Meinheld,2003,Electronic,3.66
Cylob,Cymply the Best 93-01,"Cut the Midrange, Drop the Bass",2014,IDM/Experimental,3.88
Ceephax Acid Crew,Ceephax Acid Crew,Camelot Pollution,2003,House,2.65
Jega,Type Xer0 - EP,Naem,1998,Electronic,3.34
EOD,Swurlk EP,Swurlk (snarlfingercroak mix),2017,Electronic,5.35
Plant43,Dreams of the Sentient City - EP,Fluid Reasoning,2024,Electronic,6.50
Claro Intelecto,Neurofibro,Peace of Mind,2003,Electronic,6.16
