Artist,Album,Track,Year,Genre,Duration (min)
Built to Spill,Keep It Like a Secret,Carry the Zero,1999,Alternative,5.73
Modest Mouse,The Lonesome Crowded West,Trailer Trash,1997,Alternative,5.83
Sebadoh,The Sebadoh,Flame,1999,Alternative,4.90
Archers of Loaf,Icky Mettle (Deluxe Reissue),Web in Front,1993,Rock,2.11
Superchunk,Superchunk,Slack Motherfucker,1999,Rock,2.87
Yo La Tengo,I Can Hear the Heart Beating As One,Sugarcube,1997,Alternative,3.35
Silver Jews,American Water,Random Rules,1998,Alternative,3.97
The Wrens,The Meadowlands,She Send Kisses,2003,Alternative,5.96
Guided By Voices,Bee Thousand,I Am a Scientist,1994,Alternative,2.41
Spoon,Everything Hits at Once: The Best of Spoon,The Way We Get By,2002,Alternative,2.66
The Microphones,"The Glow, Pt. 2",I Want Wind To Blow,2001,Alternative,5.55
