Artist,Album,Track,Year,Genre,Duration (min)
The Notwist,Neon Golden (Deluxe Version),Pilot,2002,Indie Pop,4.48
Lali Puna,Faking the Books,Micronomic,2004,Electronic,3.40
B. Fleischmann,Welcome Tourist,Guided By Beats,2003,Electronic,3.93
The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Such Great Heights,2003,Electronic,4.44
Dntel,Life Is Full of Possibilities (Deluxe Edition),(This Is) the Dream of Evan and Chan [Remastered],2001,Electronic,5.75
The Radio Dept.,Lesser Matters,Where Damage Isn't Already Done,2002,Alternative,2.72
Four Tet,There Is Love in You (Expanded Edition),She Just Likes to Fight,2010,Electronic,4.69
Figurine,The Heartfelt,IMpossible,2001,Alternative,4.18
Hot Chip,Over and Over (The B-Sides),Over and Over (Radio Edit),2005,Electronic,3.85
LCD Soundsystem,Sound of Silver,Someone Great,2007,Rock/Art Rock,6.50
Junior Boys,So This Is Goodbye,Like a Child,2006,Electronic,6.11
Caribou,Andorra,Melody Day,2007,Alternative,4.18
Bibio,Ambivalence Avenue,Lovers' Carvings,2009,Electronic,3.98
Erlend Øye,The Black Keys Work - EP,The Black Keys Work,2004,Electronic,6.10
Panda Bear,Person Pitch,Bros,2006,Alternative,12.51
Atlas Sound,Logos,Walkabout (with Noah Lennox) [feat. Noah Lennox],2009,Alternative,3.98
Broadcast,Tender Buttons,Tears In the Typing Pool,2005,Alternative,2.20
MGMT,Electric Feel - SOTW,Electric Feel,2007,Alternative,3.83
Passion Pit,Manners,Sleepyhead,2008,Alternative,2.91
Animal Collective,Merriweather Post Pavilion,My Girls,2009,Alternative,5.68
