Artist,Album,Track,Year,Genre,Duration (min)
The Feelies,Crazy Rhythms,The Boy with the Perpetual Nervousness (Carla Bley Demo Version),1980,Alternative,3.77
Tom Petty & The Heartbreakers,Tom Petty And The Heartbreakers,American Girl,1976,Rock,3.55
Orange Juice,Rip It Up,Rip It Up,1982,Alternative,5.34
R.E.M.,Murmur (Deluxe Edition),Radio Free Europe,1983,Rock,4.10
R.E.M.,Chronic Town - EP,Gardening At Night,1982,Rock,3.49
The Verlaines,Juvenilia,Death and the Maiden,1983,Alternative,4.45
The La's,The La's (Remastered) [Bonus Track Version],There She Goes,1988,Rock,2.70
The Smiths,The Smiths,This Charming Man,1983,Alternative,2.72
Aztec Camera,"High Land, Hard Rain (Expanded)",Walk out to Winter,1983,Pop,3.42
Primal Scream,Maximum Rock 'n' Roll: The Singles (Remastered),Velocity Girl (Remastered),2019,Alternative,1.39
The Chills,Kaleidoscope World,Pink Frost,1986,Alternative,4.02
