Artist,Album,Track,Year,Genre,Duration (min)
Placebo Effect,Galleries of Pain,Galleries of Pain (Bloody Pain Remix),2024,Alternative,7.69
The Klinik,Time + Black Leather,Black Leather,1990,Electronic,3.20
Mentallo & the Fixer,Where Angels Fear to Tread (Remastered),Sacrilege (Remastered),1995,Electronic,4.13
Psyclon Nine,Divine Infekt,Divine Infekt,2017,Industrial,3.96
Haujobb,New World March,Dead Market,2011,Electronic,4.00
Forma Tadre,Navigator,Date Unknown,1997,Electronica,5.35
Diorama,Her Liquid Arms,Advance,2001,Electronic,6.13
The Retrosic,Messa Da Requiem,Ground Zero,2002,Goth Rock,4.91
Controlled Collapse,Things Come to Pass (Deluxe Edition),Things Come To Pass,2011,Electronic,5.89
:Wumpscut:,Music For a Slaughtering Tribe,Soylent Green,1993,Alternative,6.07
:Wumpscut:,Bunkertor 7,Bunkertor 7,1995,Alternative,4.69
Cenobita,Neo Milenio,Mensaje,1999,Electronic,5.17
XP8,The Definitive Xperience: 2001 - 2016,Cuttin'n'drinkin' (feat. Grendel),2016,Alternative,5.24
Splatter Squall,Cruel,Gore,1997,Industrial,3.69
Venal Flesh,Worshiping at the Altar of Artifice (Deluxe Edition),Grotesque (Original Portrait),2016,Electronic,5.93
Venal Flesh,Worshiping at the Altar of Artifice (Deluxe Edition),Needles,2016,Electronic,5.59
Dead When I Found Her,Rag Doll Blues,Rain Machine,2012,Electronic,5.28
Dunkelwerk,Troops,Bastard,2005,Electronic,5.77
Acretongue,Strange Cargo,These Soft Machines,2011,Electronic,5.62
