Artist,Album,Track,Year,Genre,Duration (min)
Marilyn Manson,Antichrist Superstar,Cryptorchid,1996,Hard Rock,2.73
Marilyn Manson,Mechanical Animals,Great Big White World,1998,Metal/Industrial,5.02
Marilyn Manson,Mechanical Animals,The Dope Show,1998,Metal/Industrial,3.78
Marilyn Manson,Mechanical Animals,Mechanical Animals,1998,Metal/Industrial,4.56
Marilyn Manson,Mechanical Animals,Rock Is Dead,1998,Metal/Industrial,3.16
Marilyn Manson,Mechanical Animals,The Speed of Pain,1998,Metal/Industrial,5.50
Marilyn Manson,Mechanical Animals,I Don't Like the Drugs (But the Drugs Like Me),1998,Metal/Industrial,5.06
Marilyn Manson,Mechanical Animals,The Last Day On Earth,1998,Metal/Industrial,5.02
Marilyn Manson,Mechanical Animals,Coma White,1998,Metal/Industrial,5.64
Marilyn Manson,Holy Wood (In the Shadow of the Valley of Death),Disposable Teens,2000,Hard Rock,3.03
Marilyn Manson,Holy Wood (In the Shadow of the Valley of Death),The Nobodies,2000,Hard Rock,3.59
Marilyn Manson,Holy Wood (In the Shadow of the Valley of Death),The Death Song,2000,Hard Rock,3.50
Marilyn Manson,The Golden Age of Grotesque,This Is the New Shit,2003,Hard Rock,4.33
Marilyn Manson,The Golden Age of Grotesque,The Golden Age of Grotesque,2003,Hard Rock,4.09
Marilyn Manson,The Golden Age of Grotesque,Spade,2003,Hard Rock,4.58
Marilyn Manson,"Eat Me, Drink Me",Putting Holes In Happiness,2007,Hard Rock,4.52
Marilyn Manson,"Eat Me, Drink Me",Heart-Shaped Glasses (When the Heart Guides the Hand),2007,Hard Rock,5.10
Marilyn Manson,The High End of Low,Leave a Scar,2009,Hard Rock,3.92
Marilyn Manson,The High End of Low,Into the Fire,2009,Hard Rock,5.24
Marilyn Manson,The Pale Emperor (Deluxe Edition),Third Day of a Seven Day Binge,2014,Hard Rock,4.45
Marilyn Manson,WE ARE CHAOS,WE ARE CHAOS,2020,Hard Rock,4.00
Marilyn Manson,WE ARE CHAOS,INFINITE DARKNESS,2020,Hard Rock,4.26
Marilyn Manson,One Assassination Under God - Chapter 1,Meet Me In Purgatory,2024,-,4.61
Marilyn Manson,One Assassination Under God - Chapter 1,Raise The Red Flag,2024,-,4.82
Marilyn Manson,One Assassination Under God - Chapter 1,Death Is Not A Costume,2024,-,4.88
Marilyn Manson,One Assassination Under God - Chapter 1,As Sick As The Secrets Within,2024,-,5.60
Marilyn Manson,One Assassination Under God - Chapter 1,One Assassination Under God,2024,-,5.47
