Artist,Album,Track,Year,Genre,Duration (min)
Death,Symbolic,Crystal Mountain,1995,Metal,5.12
Cynic,Focus,Veil of Maya,1993,Hard Rock,5.34
Atheist,Unquestionable Presence,Mother Man,1989,Metal/Death/Technical,4.54
Pestilence,Spheres,The Level Of Perception,1993,Death Metal/Black Metal,3.82
Nocturnus,The Key,Lake of Fire,1990,Rock,5.07
Edge of Sanity,Crimson,"Crimson, Pt. 1",1996,Rock,4.90
Gorguts,Obscura,Obscura,1998,Metal,4.07
Pan.Thy.Monium,Khaooohs and Kon-Fus-Ion,The Battle of Geeheeb,1996,Death Metal/Black Metal,11.93
Demilich,Nespithe,When the Sun Drank the Weight of Water,1994,Rock,3.73
Carbonized,Disharmonization,The Voice of the Slained Pig,1993,Rock,2.64
Phlebotomized,Immense Intense Suspense / Skycontact,Dubbed Forswearer,2014,Death Metal/Black Metal,8.93
Oppressor,Solstice of Oppression,Devour the Soul,1994,Rock,5.03
Sadist,Above the Light,Sometimes They Come Back,1993,Metal,6.41
Opeth,Still Life (Remastered),The Moor (Remastered),1999,Metal,11.45
Extol,Undeceived,Ember,2000,Metal,6.49
Anata,Under a Stone With No Inscription,Any Kind of Magic or Miracle,2004,Rock,7.12
Theory In Practice,Colonising the Sun,Conspiracy In Cloning,2002,Rock,6.15
Quo Vadis,Defiant Imagination,Silence Calls the Storm,2005,Alternative,5.05
Kekal,The Painful Experience,The Painful Experience,2001,Metal,7.85
