Artist,Album,Track,Year,Genre,Duration (min)
Death,Human (Deluxe Version),Flattening of Emotions,1991,Death Metal/Black Metal,4.48
Atheist,Unquestionable Presence,Mother Man,1989,Metal/Death/Technical,4.54
Pestilence,Spheres,Mind Reflections,1993,Death Metal/Black Metal,3.35
Nocturnus,The Key,Lake of Fire,1990,Rock,5.07
Atrocity,Halluciations / The Hunt,Deep in Your Subconcious,1990,Metal,5.43
Seance,Fornever Laid to Rest,Reincarnage,1992,Rock,3.66
Oppressor,Solstice of Oppression,Seasons,1994,Rock,5.42
Suffocation,Pierced from Within,Pierced from Within,1991,Metal,4.43
Cryptopsy,None So Vile,Slit Your Guts,1996,Metal,4.03
Monstrosity,In Dark Purity,The Angels Venom,1999,Rock,5.36
Gorguts,Obscura,Obscura,1998,Metal,4.07
Theory In Practice,Colonising the Sun,Colonising the Sun,2002,Rock,5.56
Necrophagist,Onset of Putrefaction,Fermented Offal Discharge,2003,Rock,4.82
Decapitated,Nihility,Spheres of Madness,2002,Rock,5.25
Nile,Annihilation of the Wicked,Sacrifice Unto Sebek,2005,Metal,3.05
Psycroptic,The Scepter of the Ancients,The Colour of Sleep,2003,Metal,5.10
Anata,Under a Stone With No Inscription,Shackled to Guilt,2004,Rock,3.81
Hate Eternal,King of All Kings,King of All Kings,2002,Metal,2.82
Ulcerate,Everything Is Fire,Everything Is Fire,2009,Pop,7.87
Alarum,Eventuality,Remote Viewing,2004,Pop,4.07
Origin,Antithesis,The Aftermath,2008,Rock,4.58
Obscura,Cosmogenesis,Anticosmic Overload,2004,Metal/Death/Technical,4.28
Gorod,Process of a New Decline,Disavow Your God,2009,Metal,4.85
Spawn of Possession,Incurso,Bodiless Sleeper,2012,Rock,5.79
Neuraxis,Trilateral Progression,A Curative Struggle,2005,Metal,3.71
Mithras,Forever Advancing... Legions,Wrath of God,2002,Metal,5.06
Godless Truth,Godless Truth,Fortune Time,2022,Death Metal/Black Metal,4.17
Psycroptic,Psycroptic,Sentence of Immortality,2015,Metal,4.45
Anata,Under a Stone With No Inscription,Entropy Within,2004,Rock,4.10
Arsis,A Celebration of Guilt,The Face of My Innocence,2004,Metal,5.54
Quo Vadis,Defiant Imagination,Silence Calls the Storm,2005,Alternative,5.05
PAVOR,Furioso,Perplexer: Perdition Projectile,2003,Metal,5.88
Archspire,The Lucid Collective,Lucid Collective Somnambulation,2014,Metal,4.29
Beyond Creation,The Aura,Omnipresent Perception,2011,Metal,6.19
First Fragment,Dasein,Gula,2016,Metal,6.18
Allegaeon,Formshifter,Behold (God I Am),2012,Metal,7.30
Irreversible Mechanism,Infinite Fields,Outburst,2015,Metal,5.78
Alkaloid,The Malkuth Grimoire,Carbon Phrases,2015,Metal,9.53
Equipoise,Demiurgus,Dualis Flamel,2019,Death Metal/Black Metal,8.43
Inferi,Revenant,Through the Depths (feat. James Malone),2018,Death Metal/Black Metal,5.70
The Zenith Passage,Solipsist,Holographic Principle Ii: Convergence,2016,Metal,3.78
Virvum,Illuminance,Ad Rigorem,2016,Death Metal/Black Metal,4.54
Hannes Grossmann,The Radial Covenant,Alien Utopia,2014,Metal,4.56
Gigan,Quasi-Hallucinogenic Sonic Landscapes,Mountains Perched Like Beasts Awaiting the Attack,2011,Metal,7.62
Kronos,Colossal Titan Strife,Aeternum Pharaos Curse,2003,Death Metal/Black Metal,4.15
Fractal Universe,Rhizomes of Insanity,Rising Oblivion,2019,Metal,4.40
Exocrine,Molten Giant,Hayato,2018,Death Metal/Black Metal,4.76
Mithras,Time Never Lasts - EP,Inside the Godmind,2011,Rock,5.17
Ulsect,Ulsect,Fall to Depravity,2017,Metal,6.75
Virulent Depravity,Fruit of the Poisoned Tree,Serpentine Messiah,2017,Death Metal/Black Metal,4.64
Neuraxis,The Thin Line Between,Darkness Prevails,2008,Rock,4.51
Sceptic,Unbeliever's Script,Unbeliever's Script,2003,Rock,4.85
Archspire,Bleed the Future,Drone Corpse Aviator,2021,Metal/Death/Technical,3.77
Obscura,A Valediction,Solaris,2021,Metal/Death/Technical,3.69
Gorod,Victory - Single,Victory,2022,Death Metal/Black Metal,3.23
Beyond Creation,Algorythm,Entre Suffrage et Mirage,2018,Death Metal/Black Metal,4.33
First Fragment,Gloire Éternelle,Pantheum,2021,Death Metal/Black Metal,4.61
Anachronism,Meanders,Contrasts,2023,Metal,4.35
Exocrine,Legend,Life,2023,Death Metal/Black Metal,3.87
Fractal Universe,The Impassable Horizon,A Clockwork Expectation,2021,Metal,5.19
Inferi,Vile Genesis,Mesmeric Horror,2021,Death Metal/Black Metal,5.24
The Zenith Passage,Datalysium,Divinertia II,2023,Metal,5.39
Irreversible Mechanism,Immersion,Immersion,2018,Metal,5.84
Ulcerate,Stare Into Death and Be Still,Stare Into Death and Be Still,2020,Death Metal/Black Metal,8.42
Ophidian I,Desolate,Spiral to Oblivion,2021,Death Metal/Black Metal,3.52
Alkaloid,Numen,Clusterfuck,2023,Metal,5.48
Psycroptic,Divine Council,Exitus,2022,Death Metal/Black Metal,4.80
Hideous Divinity,LV-426 - Single,"Acheron, Stream of Woe",2021,Metal,6.78
Wormed,Krighsu,Neomorph Mindkind,2016,Metal,3.97
Diskord,Degenerations,Abnegations,2021,Death Metal/Black Metal,4.67
