Artist,Album,Track,Year,Genre,Duration (min)
Meshuggah,Nothing,Rational Gaze,2002,Death Metal/Black Metal,5.07
Meshuggah,Chaosphere (Reloaded),New Millennium Cyanide Christ,1998,Death Metal/Black Metal,5.60
Meshuggah,Destroy Erase Improve (Reloaded),Future Breed Machine,1995,Death Metal/Black Metal,5.81
Mnemic,The Audio Injected Soul,Door 2.12,2004,Metal,4.38
Strapping Young Lad,The New Black,The New Black,2006,Metal,6.27
Animals As Leaders,Animals as Leaders,CAFO,2009,Metal,6.69
Periphery,Periphery,Icarus Lives,2010,Alternative,3.18
TesseracT,One (Deluxe Edition),"Acceptance - Concealing Fate, Pt. 1",2010,Metal,8.56
Chimp Spanner,At the Dreams Edge,At the Dream's Edge,2010,Metal,3.86
TesseracT,One (Deluxe Edition),Eden,2011,Metal,9.14
Periphery,Periphery,All New Materials,2010,Alternative,5.34
The Safety Fire,Grind the Ocean,Huge Hammers,2012,Metal,6.43
