Artist,Album,Track,Year,Genre,Duration (min)
Black Sabbath,Black Sabbath (Remastered),Black Sabbath,1970,Metal,6.30
Pentagram,First Daze Here (Reissue),Forever My Queen,2002,Metal,2.40
Saint Vitus,Born Too Late,Born Too Late,1986,Metal,6.89
Trouble,Psalm 9 (Remastered 2020),The Tempter (Remastered 2020),1984,Metal,6.61
Trouble,Psalm 9 (Remastered 2020),Psalm 9 (Remastered 2020),1984,Metal,4.81
Witchfinder General,Death Penalty,Death Penalty,1982,Rock,5.58
The Obsessed,The Obsessed (Reissue),The Way She Fly,1990,Metal,2.36
Reverend Bizarre,II: Crush the Insects,Doom Over the World (Remix),2005,Rock,7.63
Count Raven,Destruction of the Void,Hippies Triumph,1992,Metal,4.80
Penance,Parallel Corners,Words Not Deeds,1994,Metal,5.22
Apostle Of Solitude,Sincerest Misery,The Messenger,2008,Metal,4.45
