Artist,Album,Track,Year,Genre,Duration (min)
Paradise Lost,Shades of God,As I Die,1992,Metal,3.77
Paradise Lost,Gothic,Gothic,1991,Metal,4.73
Theatre of Tragedy,Aégis,Cassandra,1998,Metal/Gothic Metal,6.81
Theatre of Tragedy,Velvet Darkness They Fear,And When He Falleth,1996,Metal/Gothic Metal,7.14
Tristania,Widow's Weeds,My Lost Lenore,1998,Metal,6.39
The Sins of Thy Beloved,Lake of Sorrow,The Kiss,1998,Metal,8.94
Lacrimas Profundere,Memorandum,Helplessness,1999,Metal/Gothic Metal,6.41
Sirenia,An Elixir for Existence,Voices Within,2004,Metal,6.88
Charon,Downhearted,Sister Misery,2002,-,3.72
Lacrimas Profundere,Ave End,To Bleed or Not to Be,2004,Alternative/Gothic Rock,4.38
Necromance,Wiederkhekr Der Schmerzen,Far Away,1999,Christian,4.73
Penumbra,Seclusion,Cursed Destiny,2003,Metal,4.40
Penumbra,Seclusion,Hope,2003,Metal,5.64
