Artist,Album,Track,Year,Genre,Duration (min)
Pantera,Far Beyond Driven (20th Anniversary Deluxe Edition),I'm Broken,1994,Metal,4.42
Machine Head,Burn My Eyes,Davidian,1994,Metal/Groove Metal,4.94
Lamb of God,Sacrament (15th Anniversary Edition),Redneck,2006,Metal,3.68
Lamb of God,Ashes of the Wake (20th Anniversary Edition),Laid to Rest,2004,Metal/Groove Metal,3.84
Lamb of God,Ashes of the Wake (20th Anniversary Edition),Now You've Got Something to Die For,2004,Metal/Groove Metal,3.66
DevilDriver,Beast (Special Edition),Dead to Rights,2011,Rock,4.88
DOWN,Nola,Stone the Crow,1995,Metal,4.71
DOWN,Nola,Bury Me in Smoke,1995,Metal,7.07
GOJIRA,Magma,Stranded,2016,Metal/Progressive Metal,4.49
White Zombie,"Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head","Electric Head, Pt. 2 (The Ecstasy)",1995,Hard Rock,3.90
Pro-Pain,The Truth Hurts,Make War (Not Love),1994,Metal,4.91
Sepultura,Chaos A.D. (Expanded Edition),Refuse / Resist (Remastered),1993,Metal,3.32
Grip Inc.,Power of Inner Strength,Ostracized,1995,Metal,3.13
Napalm Death,"Fear, Emptiness, Despair",Twist the Knife (Slowly),1994,Metal,2.89
Biohazard,State of the World Address,Tales from the Hard Side,1994,Metal,5.67
A Life Once Lost,Hunter,Rehashed,2005,Rock,3.32
Chimaira,Chimaira,Left for Dead,2005,Metal,5.71
Machine Head,Burn My Eyes,Old,1994,Metal/Groove Metal,4.09
Sepultura,Chaos A.D. (Expanded Edition),Territory (Remastered),1993,Metal,4.78
Prong,Cleansing,Whose Fist is This Anyway?,1994,Metal,4.69
White Zombie,"La Sexorcisto: Devil Music, Vol. 1",Thunder Kiss '65,1992,Hard Rock,3.90
Stuck Mojo,Pigwalk,Mental Meltdown,1996,Metal,4.69
Pantera,The Great Southern Trendkill (20th Anniversary Edition),Drag the Waters,1996,Metal/Groove Metal,4.93
GOJIRA,From Mars to Sirius,Flying Whales,2005,Metal/Death/Progressive,7.74
