Artist,Album,Track,Year,Genre,Duration (min)
Black Sabbath,Paranoid (2009 Remaster),Iron Man (2009 Remaster),1970,Rock,5.91
Rainbow,Catch the Rainbow: The Anthology,Man On the Silver Mountain,1975,Hard Rock,4.64
Scorpions,Taken by Force,He's a Woman – She's a Man (2015 Remaster),1977,Rock/Hard Rock,3.32
UFO,Lights Out (Bonus Track Version),Lights Out,1977,-,4.59
Budgie,Metal Mania,Breadfan,2016,Rock,6.08
Judas Priest,Screaming for Vengeance (Bonus Track Version),Electric Eye,1982,Metal/Heavy Metal,3.65
Iron Maiden,Piece of Mind,The Trooper,1983,Metal/Heavy Metal,4.21
Accept,Restless - The Best,Fast As a Shark,1982,Hard Rock,3.83
Dio,Holy Diver,Rainbow In the Dark,1983,Metal,4.23
Saxon,Denim and Leather,Denim and Leather,1981,Pop,5.32
Ozzy Osbourne,Bark at the Moon (Bonus Track Version),Bark at the Moon,1983,Metal/Heavy Metal,4.29
W.A.S.P.,W.A.S.P.,I Wanna Be Somebody,1984,Hard Rock,3.73
Anvil,Metal On Metal,Metal On Metal,1982,Metal,3.97
Savatage,Power of the Night (2011 Edition),Power of the Night,1985,Rock,5.26
Bruce Dickinson,Tattooed Millionaire,Tattooed Millionaire (2001 Remaster),1990,Rock,4.46
Judas Priest,Painkiller,Painkiller,1990,Metal,6.10
Metal Church,The Human Factor,Date With Poverty,1991,-,5.33
Iced Earth,Something Wicked This Way Comes,Burning Times (Remixed & Remastered),1998,Metal/Power Metal,3.73
Virgin Steele,Invictus,Invictus,1999,Metal,5.59
Saxon,Unleash the Beast,Unleash the Beast,1997,Rock,5.30
Armored Saint,Symbol of Salvation (Special Edition),Symbol of Salvation,1991,Rock,4.60
Primal Fear,Primal Fear (Deluxe Edition),Chainbreaker (Remastered 2022),1998,Metal,4.42
Running Wild,Black Hand Inn (Expanded Version; 2017 - Remaster),The Privateer (2017 - Remaster),1988,Rock,4.34
Riot,Rock World: Rare & Unreleased 87-95,Bloodstreets (Alternate Version),2020,Metal,4.73
Grand Magus,Iron Will,Iron Will,2008,Rock,5.02
Enforcer,Death by Fire,Take Me Out of This Nightmare,2013,Metal,4.30
White Wizzard,High Speed GTO,High Speed GTO,2009,Rock,3.97
