Artist,Album,Track,Year,Genre,Duration (min)
Ministry,Psalm 69: The Way to Succeed and the Way to Suck Eggs,N.W.O.,1992,Metal,5.51
Ministry,Psalm 69: The Way to Succeed and the Way to Suck Eggs,Just One Fix,1992,Metal,5.17
Killing Joke,Pandemonium,Millenium,1994,Rock,5.59
KMFDM,Symbols,Megalomaniac,1997,Electronic,6.13
KMFDM,Angst,A Drug Against War,1993,Electronic,3.58
Nine Inch Nails,Pretty Hate Machine (Remastered),Head Like a Hole,1989,Alternative,5.00
Nine Inch Nails,Broken - EP,Wish,1992,Alternative,3.78
White Zombie,"Astro-Creep: 2000 - Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head",More Human Than Human,1995,Hard Rock,4.48
Rammstein,Sehnsucht,Du hast,1997,Metal,3.90
Fear Factory,Demanufacture (25th Anniversary Deluxe Edition),Replica,1995,Metal,3.96
Fear Factory,Obsolete (Special Edition),Edgecrusher,1998,Metal,3.69
Static-X,Wisconsin Death Trip,Push It,1999,Metal,2.58
Marilyn Manson,Antichrist Superstar,The Beautiful People,1996,Hard Rock,3.65
Dope,Life,Die MF Die,2001,Hard Rock,3.10
American Head Charge,The War of Art,Just so You Know,2001,Rock,5.53
Mushroomhead,M3,Solitaire / Unraveling,1999,Rock,4.57
Motograter,Motograter,Down,2003,Hip-Hop/Rap,3.49
OOMPH!,Delikatessen,Augen Auf!,2004,Rock,3.35
Megaherz,Wer bist du,Gott sein,1997,Rock,4.25
Eisbrecher,Die Hölle muss warten (Deluxe Edition),Verrückt,2012,Rock,3.35
L'Âme Immortelle,Auf deinen Schwingen,Phönix,2006,Goth Rock,4.12
Hanzel und Gretyl,Uber Alles,SS Deathstar Supergalactik,2003,Rock,4.06
Die Krupps,"14 Years of Electronic Challenge, Volume 2",To the Hilt (Lp Version),1997,Electronic,4.81
Filter,Short Bus (Expanded Edition),Hey Man Nice Shot,1995,Alternative,5.24
Stabbing Westward,Darkest Days,Save Yourself,1998,Rock,4.22
Emigrate,Emigrate,My World,2004,Hard Rock,4.29
Daath,The Concealers,Day of Endless Light,2009,Rock,4.22
PAIN,Rebirth,End Of The Line,1999,Metal,4.06
Red Harvest,A Greater Darkness,Hole In Me,2007,Metal,6.34
3TEETH,Atrophy - Single,Atrophy,2016,Metal,3.59
Motionless In White,Reincarnate,Reincarnate,2014,Hard Rock,3.67
Author & Punisher,Beastland,Nihil Strength,2018,Metal,3.60
Sybreed,The Pulse of Awakening,Doomsday Party,2009,Rock,4.35
Chrysalide,Personal Revolution (Rise Edition),Question Everything,2014,Electronic,3.90
The Browning,Burn This World (Tour Edition),Bloodlust,2011,Metal,4.05
Circle of Dust,Brainchild (Remastered) [Deluxe Edition],Contagion,1994,Metal,5.42
Code Orange,Out For Blood - Single,Out For Blood,2021,Metal,3.67
Chrysalide,"Don't Be Scared, It's About Life",Traders Must Die,2012,Electronic,4.43
Seething Akira,Nozomi,Internal Antagonist,2022,Rock,3.72
Shrezzers,Phoenix - Single,Phoenix,2020,Rock,3.68
