Artist,Album,Track,Year,Genre,Duration (min)
Killswitch Engage,Alive or Just Breathing,My Last Serenade,2002,Metal,4.23
Converge,You Fail Me Redux,Heartless,2016,Metal/Metalcore,2.47
Glassjaw,Everything You Ever Wanted to Know About Silence (Remastered),Pretty Lush,2000,Rock,2.99
Atreyu,The Curse (Deluxe Edition),Bleeding Mascara,2004,Rock,2.44
As I Lay Dying,Frail Words Collapse,Forever,2006,Metal,4.71
Killswitch Engage,The End of Heartache (Bonus Track Version),The End of Heartache,2004,Metal,4.97
Misery Signals,Of Malice and the Magnum Heart,The Year Summer Ended In June,2004,Rock,4.43
August Burns Red,Messengers,Composure,2007,Metal,4.22
All That Remains,The Fall of Ideals,The Weak Willed,2006,Metal,4.09
"Oh, Sleeper",When I Am God,Vices Like Vipers,2007,Metal,4.32
As I Lay Dying,Shadows Are Security,Confined,2005,Metal,3.19
All That Remains,The Fall of Ideals,This Calling,2006,Metal,3.64
