Artist,Album,Track,Year,Genre,Duration (min)
Neurosis,A Sun That Never Sets,Stones from the Sky,2001,Metal,9.77
Cult of Luna,Somewhere Along the Highway,Finland,2006,Rock,10.77
ISIS,Panopticon (Remastered),So Did We (Remastered),2004,Metal,7.50
Pelican,Untitled - EP,Mammoth,2001,Metal,4.96
Callisto,Noir,Wormwood,2007,Metal,7.23
Old Man Gloom,Christmas,Gift,2004,Rock,5.79
Capricorns,Ruder Forms Survive,1066: Born On the Bayeux,2005,Rock,12.66
Battle of Mice,A Day of Nights,The Lamb & the Labrador,2006,Rock,6.90
Irepress,Samus Octology,Samus,2005,Rock,4.99
Zozobra,Harmonic Tremors,Soon to Follow,2007,Metal,4.24
Mouth of the Architect,111,Baobab,2006,Rock,10.50
Russian Circles,Station,Harper Lewis,2008,Metal/Post Metal,7.26
Intronaut,Prehistoricisms,The Literal Black Cloud,2008,Metal,5.49
Minsk,The Ritual Fires of Abandonment,The Orphans of Piety,2007,Rock,14.70
Cloudkicker,Let Yourself Be Huge,You and Yours,2011,Rock,4.80
Year of No Light,Ausserwelt,Perséphone II,2010,Rock,9.62
Hands,Creator,Resistance,2009,Rock,6.03
Dirge,Elysian Magnetic Field,Elysian Magnetic Fields,2011,Alternative,10.24
