Artist,Album,Track,Year,Genre,Duration (min)
Helloween,"Keeper of the Seven Keys, Pt. II (Expanded Edition)",Eagle Fly Free,1985,Metal/Power Metal,5.15
Gamma Ray,Land of the Free (Anniversary Edition) [Remastered],Rebellion in Dreamland (Remastered 2017),1995,Metal,8.75
Blind Guardian,Nightfall in Middle Earth (Remastered 2007),Mirror Mirror (Remastered 2007),1998,Metal,5.10
Primal Fear,Primal Fear (Deluxe Edition),Chainbreaker (Remastered 2022),1998,Metal,4.42
Iron Savior,Iron Savior,Atlantis Falling,1997,Rock,4.57
Edguy,Vain Glory Opera,Vain Glory Opera,1998,Metal,6.17
Masterplan,Masterplan,Spirit Never Die,2003,Metal,5.45
Brainstorm,Liquid Monster,All Those Words,2005,Rock,4.09
Orden Ogan,To the End (Deluxe Edition),The Things We Believe In,2012,Metal,5.10
Heavens Gate,Livin' In Hysteria,Livin' In Hysteria,1991,Metal,4.64
Scanner,Hypertrace,Warp 7,1988,Metal,4.55
Stormwarrior,Heading Northe,Heading Northe,2008,Rock,4.32
Iron Fire,Thunderstorm,Thunderstorm,2000,Metal,4.76
Powerwolf,Blessed & Possessed,Army of the Night,2015,Metal,3.36
Stratovarius,Visions,Black Diamond,1997,Metal/Power Metal,5.67
Sonata Arctica,Ecliptica (2008 Edition),FullMoon,1999,Rock,5.11
HammerFall,Glory to the Brave,The Dragon Lies Bleeding,1997,Metal,4.38
