Artist,Album,Track,Year,Genre,Duration (min)
Queensrÿche,Operation: Mindcrime (Deluxe Edition),Suite Sister Mary,1988,Metal/Progressive Metal,10.66
Fates Warning,Parallels (Expanded Edition),The Eleventh Hour,1991,Metal/Progressive Metal,8.20
Dream Theater,Images and Words,"Metropolis, Pt. 1: The Miracle and the Sleeper",1992,Metal/Progressive Metal,9.54
Crimson Glory,Transcendence,In Dark Places,1988,Rock,6.97
Psychotic Waltz,A Social Grace,Nothing,Unknown,Metal/Progressive Metal,5.77
Conception,Flow,Gethsemane,1997,Metal,5.04
Sieges Even,The Art of Navigating by the Stars,Sequence II: The Lonely Views of Condors,2005,Metal/Progressive Metal,6.24
Heir Apparent,One Small Voice,The Fifth Season,1989,Rock,5.61
Ivanhoe,Symbols of Time,By a Feeling,1995,Metal,4.86
Dali's Dilemma,Manifesto for Futurism,Miracles In Yesteryear,1999,Rock,7.19
SYMPHONY X,The Divine Wings of Tragedy (Special Edition),Of Sins and Shadows,1997,Metal/Progressive Metal,4.97
Shadow Gallery,Carved In Stone,Crystalline Dream,1995,Rock,5.74
Vanden Plas,The Epic Works 1991 - 2015,Healing Tree (Beyond Daylight),2002,Hard Rock,5.77
Threshold,Subsurface (Definitive Edition),Mission Profile,2001,Metal,8.26
Pain of Salvation,"The Perfect Element, Pt. I",The Perfect Element,2000,Metal/Progressive Metal,10.16
Evergrey,The Inner Circle (Remasters Edition),A Touch of Blessing (Remastered),2004,Metal,5.84
Ark,Burn the Sun,Just a Little,2001,Rock,4.61
