Artist,Album,Track,Year,Genre,Duration (min)
Metallica,Kill 'Em All (Remastered),Whiplash (Remastered),1983,Metal/Trash,4.14
Megadeth,Killing Is My Business... And Business Is Good!,Rattlehead,1985,Metal/Trash,3.72
Anthrax,The Greater of Two Evils,Metal Thrashing Mad,2004,Metal,2.79
Exodus,Bonded by Blood,Bonded by Blood,1985,Metal,3.73
Overkill,The Years of Decay,Elimination,1989,Metal,4.59
Kreator,Pleasure to Kill,Pleasure to Kill,1986,Metal,4.16
Testament,The Legacy,Over the Wall,1987,Metal,4.10
Death Angel,The Ultra-Violence,Evil Priest,1987,Metal,4.90
Forbidden,Forbidden Evil,Chalice of Blood,1988,Metal,4.55
Metallica,…And Justice for All (Remastered),Blackened,1988,Metal/Trash,6.70
Megadeth,Warheads On Foreheads,Holy Wars... The Punishment Due,1990,Metal,6.56
Slayer,South of Heaven,South of Heaven,1988,Metal/Trash,4.99
Dark Angel,Darkness Descends,Darkness Descends,1986,Metal,5.78
Tankard,Zombie Attack,Zombie Attack (2017 - Remaster),1986,Metal,3.84
Sodom,Agent Orange,Agent Orange,1989,Rock,6.09
Kreator,Terrible Certainty (Bonus Track Edition),Terrible Certainty,1987,Metal,4.45
Destruction,Infernal Overkill,Bestial Invasion,1985,Metal,4.60
Artillery,By Inheritance,By Inheritance,1990,Rock,5.72
Sepultura,Arise,Arise,1991,Metal,3.30
Coroner,Punishment for Decadence,Masked Jackal,1988,Metal,4.79
Paradox,Heresy,Heresy,2022,Rock,6.93
Sabbat,History of a Time to Come (Expanded Edition),Hosanna In Excelsis (2007 Remaster),1988,Rock,4.02
Annihilator,Alice In Hell,W.T.Y.D.,1989,Metal,3.94
Lost Society,Fast Loud Death,Trash All over You,2013,Metal,3.68
Evildead,Toxic Grace,The Death & Resurrection Show 2024 (Bonus Track),2024,Metal,5.07
Razor,Violent Restitution (Deluxe),Violent Restitution,1990,Metal,2.53
Whiplash,Wild Life,Trip the Switch,2017,Trance,7.20
Onslaught,The Force,Let There Be Death,1986,Metal,6.70
Havok,Time Is Up,D.O.A.,2011,Rock,3.72
Warbringer,War Without End (Re-issue 2018),Combat Shock,2008,Metal,3.85
Municipal Waste,The Art of Partying,Sadistic Magician,2007,Metal,2.16
Gama Bomb,Survival of the Fastest,Bullet Belt (SOTF Version),2006,Metal,3.83
Power Trip,Nightmare Logic,Executioner's Tax (Swing of the Axe),2017,Metal,3.75
Suicidal Angels,Sanctify the Darkness,Apokathilosis,2009,Metal,3.57
