Artist,Album,Track,Year,Genre,Duration (min)
Madonna,Confessions on a Dance Floor,Hung Up,2005,Pop/Dance Pop,5.63
Kylie Minogue,Fever,In Your Eyes,2001,Pop,3.30
Spice Girls,Spice,Who Do You Think You Are,1996,Pop,4.01
Paula Abdul,Forever Your Girl,Opposites Attract,1988,Dance,4.42
Janet Jackson,Rhythm Nation 1814,Escapade,1989,Pop,4.73
Britney Spears,...Baby One More Time (Deluxe Version),(You Drive Me) Crazy,1999,Pop,3.30
Christina Aguilera,Christina Aguilera (Expanded Edition),Come on over Baby (All I Want Is You) [Radio Version],1999,Pop,3.39
Jessica Simpson,A Public Affair,A Public Affair,2006,Pop,3.36
P!nk,M!ssundaztood (Expanded Edition),Get the Party Started,2001,Pop,3.21
Hilary Duff,Most Wanted,Wake Up,2005,Pop,3.63
Lady Gaga,Just Dance (Remixes) - EP [feat. Colby O'Donis],Just Dance,2008,Dance,4.04
Katy Perry,Teenage Dream,Teenage Dream,2010,Teen Pop,3.80
