Artist,Album,Track,Year,Genre,Duration (min)
SOPHIE,Bipp - Single,Bipp,2013,Electronic,3.74
A. G. Cook,"PC Music, Vol. 1",Beautiful,2015,Pop,3.80
Danny L Harle,Broken Flowers - EP,Broken Flowers,2015,Dance,3.41
Hannah Diamond,Every Night - Single,Every Night,2014,Pop,3.54
EASYFUN,Deep Trouble - Single,Laplander,2015,IDM/Experimental,3.57
GFOTY,"PC Music, Vol. 1",Don't Wanna / Let's Do It,2015,Pop,1.85
Life Sim,I.D.L - Single,I.D.L,2015,IDM/Experimental,5.88
Lipgloss Twins,"PC Music, Vol. 1",Wannabe,2015,IDM/Experimental,2.37
LIZ,When I Rule the World - Single,When I Rule the World,2015,Pop,3.10
Charli xcx,Vroom Vroom - EP,Vroom Vroom,2016,Pop,3.22
100 gecs,1000 gecs,money machine,2019,Alternative,1.91
Slayyyter,Mine - Single,Mine,2019,Pop,2.65
ericdoa,fantasize - Single,fantasize,2021,Pop,2.51
glaive,cypress grove,astrid,2020,Pop,1.70
underscores,fishmonger,Spoiled little brat,2021,Indie Pop,3.33
aldn,glittr - Single,glittr,2020,Electronic,2.63
