Artist,Album,Track,Year,Genre,Duration (min)
Bread,The Best of Bread,Make It With You,1970,Soft Rock,3.20
America,Hearts,Sister Golden Hair,1975,Pop,3.33
Seals & Crofts,Summer Breeze,Summer Breeze,1972,Pop,3.42
England Dan & John Ford Coley & John Ford Coley,Nights Are Forever,I'd Really Love to See You Tonight,1976,Pop,2.65
Air Supply,Lost in Love,All Out of Love,1979,Pop,4.05
Jim Croce,Lost Time In a Bottle,Time In a Bottle (Demo),2014,Singer/Songwriter,2.39
Chicago,Love Songs,If You Leave Me Now,1976,Rock,4.23
Christopher Cross,Christopher Cross,Sailing,1979,Rock,4.28
Eagles,The Long Run,I Can't Tell You Why,1979,Rock,4.91
Fleetwood Mac,Rumours,Dreams,1977,-,4.30
10cc,The Original Soundtrack,I'm Not In Love,1975,Pop,6.11
