Artist,Album,Track,Year,Genre,Duration (min)
Bauhaus,The Bela Session - EP,Bela Lugosi's Dead (Official Version),2018,Alternative,9.61
Bauhaus,In the Flat Field,In the Flat Field,1980,-,5.00
The Mission,Gods Own Medicine,Severina,1986,Alternative,4.36
The Sisters of Mercy,Some Girls Wander By Mistake,Alice,1983,Pop,3.58
Fields of the Nephilim,Revelations,The Watchman,1993,Alternative,5.34
The Sisters of Mercy,This Corrosion - Single,This Corrosion (12'' Version),1987,Pop,8.77
The Sisters of Mercy,Floodland Collection,Lucretia My Reflection (Vinyl Version),1987,Pop,4.92
Fields of the Nephilim,The Nephilim,Moonchild,1988,Alternative,5.68
The Cult,Love,She Sells Sanctuary,1985,Hard Rock,4.21
The Cult,Love,Rain,1985,Hard Rock,3.94
The Mission,The Best of the Mission UK,Hands Across the Ocean,1999,Alternative,4.70
Fields of the Nephilim,Ceromonies (Ad Mortem Ad Vitam) [Live],Trees Come Down (Live),2012,Alternative,3.54
The Cure,Seventeen Seconds (Deluxe Edition),A Forest,1980,Alternative,5.91
