Artist,Album,Track,Year,Genre,Duration (min)
Neu!,NEU!,Hallogallo,1972,Prog-Rock/Art Rock,10.12
Can,Tago Mago (Remastered),Paperhouse (Remastered),1971,Progressive/Krautrock,7.48
Can,Tago Mago (40th Anniversary Edition),Aumgn,1971,Rock,17.62
Kraftwerk,Autobahn (Remastered),Autobahn,1974,Electronic,22.78
Neu!,NEU!,Negativland,1972,Prog-Rock/Art Rock,9.79
Can,Monster Movie (Remastered),Father Cannot Yell,1969,Progressive/Krautrock,7.11
Amon Düül II,Made In Germany,Metropolis,1975,Rock,3.66
Brainticket,Cottonwoodhill,Black Sand,1970,Electronic,4.09
Neu!,NEU! 2,Für immer,1972,Prog-Rock/Art Rock,11.29
Kraftwerk,Trans-Europe Express (2009 Remaster),The Hall of Mirrors (2009 Remaster),1977,Electronic,7.94
Harmonia,Musik von Harmonia,Watussi,1974,Prog-Rock/Art Rock,5.99
Harmonia,Musik von Harmonia,Ohrwurm,1974,Prog-Rock/Art Rock,5.18
Birth Control,Hoodoo Man,Gamma Ray,1972,Rock,9.77
Grobschnitt,Solar Music (Live),Solar Music I (Live),1978,Rock,4.44
Cluster,Cluster II,Im Süden,1972,Rock,12.84
