Artist,Album,Track,Year,Genre,Duration (min)
Sex Pistols,The Great Rock 'n' Roll Swindle,Anarchy in the UK,1979,Rock,4.08
Sex Pistols,The Filth & The Fury (Original Motion Picture Soundtrack),God Save The Queen,2024,Punk,3.33
The Clash,The Clash (2013 Remastered),White Riot (2013 Remastered),1977,Punk,1.94
The Clash,The Clash (2013 Remastered),London's Burning (2013 Remastered),1977,Punk,2.19
Buzzcocks,Another Music in a Different Kitchen,What Do I Get? (1996 Remastered Version),1978,Punk,2.90
Buzzcocks,Another Music in a Different Kitchen (2018 Remastered Version),Fast Cars (2018 Remastered Version),1978,Punk,2.46
The Damned,Damned Damned Damned,New Rose (2017 - Remaster),1976,Rock,2.70
The Damned,Play It at Your Sister,Neat Neat Neat,1977,Rock,2.68
Sham 69,Adventures of the Hersham Boys (Bonus Track Edition),If the Kids Are United,1978,Rock,3.76
Sham 69,Angels with Dirty Faces,Borstal Breakout,1978,Rock,2.20
Generation X,Generation X (Deluxe Edition),Ready Steady Go,1978,Punk,2.97
Eater,The Album (2024 Deluxe Edition),Outside View (Single Version),1993,Punk,2.08
999,999,Emergency,1978,Rock,2.86
Chelsea,Right to Work - The Singles,Right to Work,1977,Punk,3.07
Slaughter & The Dogs,We Don't Care: Anthology,Where Have All the Boot Boys Gone,2001,Rock,3.90
Ramones,Ramones (40th Anniversary Deluxe Edition),Blitzkrieg Bop,1976,Rock,2.22
Ramones,Ramones,Judy Is a Punk,1976,Punk,1.54
