Artist,Album,Track,Year,Genre,Duration (min)
Rage,Secrets in a Weird World,Invisible Horizons (Remastered),1989,Metal,4.61
Rage,Secrets in a Weird World,She (Remastered),1989,Metal,5.34
Rage,Reflections of a Shadow,Dust (Remastered),1990,Metal,4.84
Rage,Trapped!,Medicine (Remastered),1992,Metal,3.72
Rage,Trapped!,Questions (Remastered),1992,Metal,3.92
Rage,The Missing Link,Refuge (Remastered),1993,Metal,3.64
Rage,The Missing Link,The Pit and the Pendulum (Remastered),1993,Metal,4.29
Rage,The Missing Link,Who Dares? (Remastered),1993,Metal,4.47
Rage,Black In Mind,The Crawling Chaos,1994,Rock,4.77
Rage,Black In Mind,The Price of War,1994,Rock,4.26
Rage,Ghosts,Back In Time,1999,Rock,4.35
Rage,Ghosts,Spiritual Awakening,1999,Rock,3.51
Rage,Welcome to the Other Side,Paint the Devil On the Wall,2001,Rock,5.12
Rage,Soundchaser,Soundchaser,2003,Metal,5.62
Rage,Speak of the Dead,Turn My World Around,2006,Metal,3.98
Rage,Carved in Stone,Drop Dead!,2008,Metal,4.23
Rage,Strings to a Web,Hunter & Prey,2010,Metal,4.56
Rage,The Devil Strikes Again,Spirits of the Night,2016,Metal,4.91
Rage,Seasons of the Black,Blackened Karma,2017,Metal,4.64
