Artist,Album,Track,Year,Genre,Duration (min)
Robert Plant,Pictures at Eleven (Remastered),Moonlight In Samosa,1982,Rock,4.03
Robert Plant,Pictures at Eleven (Remastered),Like I've Never Been Gone,1982,Rock,5.98
Robert Plant,Pictures at Eleven (Remastered),Slow Dancer,1982,Rock,7.76
Robert Plant,The Principle of Moments (Remastered),Other Arms,1983,Rock,4.36
Robert Plant,The Principle of Moments (Remastered),Wreckless Love,1983,Rock,5.27
Robert Plant,The Principle of Moments (Remastered),Horizontal Departure,1983,Rock,4.35
Robert Plant,Shaken 'N' Stirred (Remastered),Little By Little,1985,Rock,4.74
Robert Plant,Shaken 'N' Stirred (Remastered),Easily Lead,1985,Rock,4.64
Robert Plant,Shaken 'N' Stirred (Remastered),Sixes and Sevens,1985,Rock,6.06
Robert Plant,Now and Zen (Remastered),The Way I Feel,1988,Pop/Pop Rock,5.71
Robert Plant,Now and Zen (Remastered),Why,1988,Pop/Pop Rock,4.20
Robert Plant,Manic Nirvana (Remastered),Hurting Kind (I've Got My Eyes On You),1990,Rock/Hard Rock,4.19
Robert Plant,Manic Nirvana (Remastered),Big Love,1990,Rock/Hard Rock,4.59
