Artist,Album,Track,Year,Genre,Duration (min)
Queen,News of the World,We Will Rock You,1977,Rock/Arena Rock,2.02
Queen,News of the World,We Are the Champions,1977,Rock/Arena Rock,2.99
Boston,Boston,More Than a Feeling,1976,Rock,4.75
Journey,Greatest Hits (2024 Remaster),Don't Stop Believin' (2024 Remaster),1981,Rock,4.18
Foreigner,4 (Expanded Version) [2002 Remaster],Juke Box Hero,1981,Rock,4.33
Styx,Pieces of Eight,Renegade,1978,Rock,4.29
Kansas,Leftoverture (Expanded Edition),Carry On Wayward Son,1976,Rock,5.38
Loverboy,Get Lucky,Working For The Weekend (DEMO),1981,Pop,3.79
Survivor,Eye of the Tiger (Remastered),Eye of the Tiger,1982,Rock,4.06
Blue Öyster Cult,Don't Fear the Reaper: The Best of Blue Öyster Cult,Burnin' for You,1981,Hard Rock,4.52
Sammy Hagar,Unboxed,There's Only One Way to Rock,1994,Hard Rock,4.25
Foreigner,No End In Sight: The Very Best of Foreigner (Remastered),I Want to Know What Love Is,1984,Rock,5.02
Toto,Toto,Hold the Line,1978,Rock,3.93
Queen,The Platinum Collection,Radio Ga Ga,1984,Rock,5.72
Def Leppard,Pyromania,Photograph,1983,Rock/Arena Rock,4.13
Bon Jovi,Slippery When Wet,You Give Love a Bad Name,1986,Hard Rock,3.71
Van Halen,The Collection,Jump,1983,Hard Rock,4.03
Bryan Adams,Reckless (30th Anniversary) [Deluxe Edition],Run To You,1984,Rock,3.89
Don Henley,Building The Perfect Beast (Remastered 2024),The Boys Of Summer (Remastered 2024),1984,Rock,4.83
Europe,The Final Countdown (Expanded Edition),The Final Countdown,1986,Hard Rock,5.17
Billy Idol,Rebel Yell,Rebel Yell,1983,Rock,4.81
Bon Jovi,Cross Road,Always,1994,Pop,5.88
EXTREME,Extreme II: Pornograffitti,More Than Words,1990,Hard Rock,5.57
Meat Loaf,Bat Out of Hell II - Back Into Hell,I'd Do Anything for Love (But I Won't Do That),1993,Rock,12.02
Whitesnake,Whitesnake's Greatest Hits,Here I Go Again,1982,Hard Rock,3.88
ZZ Top,RAW (‘That Little Ol' Band From Texas’ Original Soundtrack),Legs,1983,Rock,4.36
Pat Benatar,Live from Earth,Love Is a Battlefield,1983,Rock,5.42
Scorpions,Love at First Sting,Rock You Like a Hurricane (2015 - Remaster),1984,Metal/Heavy Metal,4.23
Asia,Asia,Heat of the Moment,1982,Rock,3.80
