Artist,Album,Track,Year,Genre,Duration (min)
The Beatles,Abbey Road (Remastered),Come Together,1969,Rock,4.32
The Rolling Stones,Let It Bleed,Gimme Shelter (Remastered 2019),1969,Rock,4.51
The Who,The Who Sell Out (Super Deluxe),I Can See For Miles,1967,Rock,4.17
The Kinks,Kinks (Bonus Track Edition),You Really Got Me,1964,Rock,2.23
Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,1967,Rock,3.11
Creedence Clearwater Revival,Willy and the Poor Boys,Fortunate Son,1968,Rock,2.36
The Doors,The Very Best of The Doors,Love Her Madly,1971,Rock,3.34
Joe Cocker,With a Little Help from My Friends,With a Little Help from My Friends,1969,Rock,5.20
The Dave Clark Five,Glad All Over (2019 Remaster),Glad All Over (2019 - Remaster),1964,Pop/Rock,2.72
Bad Company,70 Hits of the 70s,Can't Get Enough,2016,Rock,3.43
Thin Lizzy,Jailbreak (Deluxe Edition),The Boys Are Back In Town,1976,Hard Rock,4.45
Nazareth,Hair of the Dog,Hair of the Dog (2010 - Remaster),1975,Rock,4.19
Blue Öyster Cult,Don't Fear the Reaper: The Best of Blue Öyster Cult,(Don't Fear) The Reaper,1976,Hard Rock,5.14
The Guess Who,American Woman (Expanded Edition),American Woman,1970,Rock,5.13
Golden Earring,Moontan,Radar Love,1973,Rock,6.45
Eagles,Hotel California,Life In the Fast Lane,1976,Rock,4.77
Steve Miller Band,Fly Like an Eagle,Rock'n Me,1976,Rock,3.12
The Doobie Brothers,The Captain and Me (Remastered),China Grove (2016 Remastered),1973,Rock,3.29
