Artist,Album,Track,Year,Genre,Duration (min)
Rush,2112 (40th Anniversary),2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale (Medley),1976,Rock,20.63
Rush,2112 (40th Anniversary),A Passage To Bangkok,1976,Rock,3.58
Rush,Moving Pictures (Remastered),Tom Sawyer,1981,Rock,4.61
Rush,Moving Pictures (40th Anniversary Super Deluxe),Witch Hunt,1980,Rock,4.76
Rush,Permanent Waves (Remastered),The Spirit of Radio,1980,Hard Rock,4.98
Rush,Grace Under Pressure (Remastered),Afterimage,1984,Hard Rock,5.08
Rush,Grace Under Pressure (Remastered),Red Sector A,1984,Hard Rock,5.18
Rush,Hold Your Fire (Remastered),Force Ten,1987,Hard Rock,4.54
Rush,Presto (Remastered),Red Tide,1989,Hard Rock,4.51
Rush,Roll the Bones (Remastered),Roll the Bones,1991,Hard Rock,5.50
Rush,Roll the Bones (Remastered),Neurotica,1991,Hard Rock,4.67
Rush,Counterparts (Remastered),Animate,1993,Hard Rock,6.06
Rush,Counterparts (Remastered),Nobody's Hero,1993,Hard Rock,4.92
Rush,Snakes & Arrows: Live,The Main Monkey Business (Live),2008,Hard Rock,6.11
Rush,Clockwork Angels,BU2B,2010,Hard Rock,5.18
