Artist,Album,Track,Year,Genre,Duration (min)
Orchestral Manoeuvres In the Dark,The OMD Singles,Electricity,1998,Pop,3.54
Visage,Visage,Fade To Grey,1980,Pop,3.99
John Foxx,Metamatic...Plus,Underpass,1980,Rock,3.95
Depeche Mode,Speak and Spell (Deluxe),Just Can't Get Enough,1981,Synthpop,3.68
The Human League,Anthology: A Very British Synthesizer Group (Deluxe Edition),Don't You Want Me,1981,Pop,3.98
Soft Cell,Non Stop Erotic Cabaret (Deluxe Edition),Tainted Love,1981,Pop,2.56
The Human League,Dare / Love and Dancing,Love Action (I Believe In Love),1981,Pop,5.03
Orchestral Manoeuvres In the Dark,The Best Of Orchestral Manoeuvres In The Dark,Enola Gay,1980,Electronic,3.54
Fad Gadget,The Best of Fad Gadget,Ricky's Hand,1985,Alternative,4.16
Soft Cell,Non Stop Erotic Cabaret (Deluxe Edition),Memorabilia (Non-Stop Ecstatic Dancing Version),1981,Pop,5.32
Simple Minds,Celebration,I Travel,1982,Rock,4.03
