Artist,Album,Track,Year,Genre,Duration (min)
Basic Channel,BCD-2,Phylyps Trak,1993,Electronic,9.96
Porter Ricks,Biokinetics,Nautical Dub,1996,Electronic,5.81
Porter Ricks,Biokinetics,Port Gentil,1996,Electronic,12.43
Porter Ricks,Biokinetics,Nautical Zone,1996,Electronic,12.11
Deepchord & Echospace,Liumin,Maglev,2010,Electronic,10.46
Deepchord & Echospace,Liumin,BCN Dub,2010,Electronic,12.07
Yagya,Sleepygirls,Sleepygirl 7,2014,Dance,5.33
Yagya,Sleepygirls,Sleepygirl 10,2014,Dance,5.07
Intrusion,The Seduction of Silence,Tswana Dub,2010,Electronic,10.70
Vainqueur,Ranges - Single,Ranges (Theme),2010,Electronic,9.72
Mikkel Metal,"Remix, Vol. 4 - Single",Untitled (Vainqueur Remix),2005,Electronic,9.12
Zzzzra,L'entraide,L'entraide (Variation),2015,Electronic,5.62
Dubatech,Hezaren - EP,Iris,2012,Techno,7.04
