Artist,Album,Track,Year,Genre,Duration (min)
Âme,Rej - Single,Rej,2005,Electronic,8.15
Paul Kalkbrenner,Tatü-Tata - Single,Gebrünn Gebrünn,2005,Electronic,7.59
Gregor Tresher,Neon (Remastered & Remixed) - Single,Neon (Remaster),2018,Electronic,8.13
Dominik Eulberg,Heimische Gefilde (Vinyl Version),Die Alpenstrandläufer von Spiekeroog,2007,Techno,6.38
Minilogue,Hitchhikers Choice EP,Hitchhikers Choice,2006,Electronic,8.94
Robert Babicz,Dark Flower - Single,Dark Flower (Joris Voorn Magnolia Mix),2008,House,8.69
Stephan Bodzin,Powers of Ten,Singularity,2015,Dance,7.02
Tale Of Us,North Star / Silent Space - Single,North Star,2015,Techno,7.76
Maceo Plex,Conjure Infinity - Single,Conjure Dreams,2014,Dance,7.35
Tale Of Us & Mind Against,Astral - Single,Astral,2015,Dance,6.71
Kölsch,Speicher 93 - Single,Grey,2016,Electronic,4.89
David August,Epikur - Single,Epikur,2014,Electronic,8.18
Recondite,Realm Of Consciousness,Murphy's Law,2016,Techno,6.25
Patrice Bäumel,Speicher 89 - Single,Surge,2016,Electronic,7.80
Agoria,Drift,Scala (feat. Jacques),2019,Electronic,4.41
Monolink,Sirens - Single,Sirens,2017,Electronica,3.62
Enrico Sangiuliano,Biomorph,Hidden T,2018,Dance,7.81
Sono,Keep Control (ARTBAT Remix) - Single,Keep Control (ARTBAT Remix),2000,Dance,8.07
Anyma & Chris Avantgarde,Genesys,Consciousness,2023,Dance,4.58
Monolink,Return to Oz (ARTBAT Remix) - Single,Return to Oz (ARTBAT Remix),2019,Electronic,8.00
Mathame,Skywalking - Single,Skywalking,2019,Techno,6.25
Colyn,Resolve - EP,Resolve,2019,Techno,7.38
Fideles,Realm Of Consciousness Pt. III,Lotus,2018,Techno,7.20
Recondite,Caldera - Single,Caldera,2014,Techno,8.89
Massano,The Feeling - Single,The Feeling,2020,Techno,8.53
CamelPhat & Mathame,Believe - Single,Believe,2022,Dance,3.56
"Adriatique, Marino Canal & Delhia de France",Home - Single,Home,2020,Electronic,5.51
Argy & Goom Gum,Pantheon - Single,Pantheon,2023,Techno,4.54
Space 92,Dune - Single,Dune,2020,Techno,6.86
Adana Twins & Glowal,Picture: Adana Twins,My Computer,2019,Electronic,8.58
