Artist,Album,Track,Year,Genre,Duration (min)
Archive,Glass Minds,Wake Up Strange,2025,Alternative,5.52
Pendragón,Where Questions Begin,Where Questions Begin,2025,Rock,4.17
Die Spitz,Something To Consume,Pop Punk Anthem (Sorry for the Delay),2025,Alternative,3.84
Olhava,When the Ashes Grow Cold - EP,When the Ashes Grow Cold,2025,Metal,20.37
KMFDM,ENEMY - Single,ENEMY,2026,Industrial,4.32
Somatic Responses,Psychic Artillery,Navigator,2026,IDM/Experimental,4.56
Arctic Monkeys & War Child Records,Opening Night - Single,Opening Night,2026,Alternative,4.32
Ov Sulfur,Endless,Wither,2025,Metal,5.02
Infected Mushroom,IM30,Enjoy The Ride,2026,Dance,6.91
Infected Mushroom & Bliss,IM30,LA Beast,2026,Dance,8.28
