Artist,Album,Track,Year,Genre,Duration (min)
Elias Rønnenfelt,Heavy Glory,Doomsday Childsplay,2024,Folk-Rock,3.95
Elias Rønnenfelt,Heavy Glory,No One Else,2024,Indie Rock,3.85
The Warning,Keep Me Fed,Six Feet Deep,2024,-,3.00
Archive,You All Look The Same To Me (2024 Remastered Deluxe Edition),Again (2024 Remaster),2002,Progressive/Modern Prog,16.33
Archive,Noise (2024 Remastered Deluxe Edition),Waste (2024 Remaster),2004,-,9.96
Archive,Noise (2024 Remastered Deluxe Edition),Fuck U (2024 Remaster),2025,-,5.24
65daysofstatic,Available Data - EP,Available Data V4,2025,Jungle/Drum'n'bass,15.83
Ditz,Never Exhale,Taxi Man,2025,-,4.25
Tremonti,The End Will Show Us How,"The Mother, The Earth and I",2024,Hard Rock,5.10
FKA twigs,EUSEXUA,Eusexua,2024,-,4.39
FKA twigs,EUSEXUA,Perfect Stranger,2024,-,3.29
Встреча Рыбы,Сезоны - Single,Сезоны,2025,Indie Pop,3.77
Дурной Вкус,Пластинки - Single,Пластинки,2018,Indie Rock,3.08
Dawn Of Solace,Invitation - Single,Invitation,2025,Metal,4.61
The Devil Wears Prada,The Act,Please Say No,2019,Metal/Metalcore,3.32
The Devil Wears Prada,Ritual - Single,Ritual,2024,Metal,3.72
Squid,Cowards,Crispy Skin,2024,Punk/Post Punk,6.32
Squid,Cowards,Showtime!,2025,Punk/Post Punk,5.14
Brittany Howard,What Now - Single,What Now,2023,Alternative,3.78
Tribulation,Down Below,The Lament,2017,Metal/Gothic Metal,5.62
Tribulation,Sub Rosa In Æternum,Saturn Coming Down,2024,Alternative/Gothic Rock,5.98
Rivers of Nihil,Rivers of Nihil,House of Light,2025,Metal/Death/Progressive,5.82
L.S. Dunes,Violet,Like Magick,2025,-,4.26
L.S. Dunes,Violet,Fatal Deluxe,2025,-,3.52
L.S. Dunes,Violet,Machines,2025,-,4.11
Mogwai,The Bad Fire,God Gets You Back,2024,Indie/Post Rock,6.68
Mogwai,The Bad Fire,"If You Find This World Bad, You Should See Some Of The Others",2025,Indie/Post Rock,7.38
Amy Macdonald,This Is the Life - Single,This Is the Life,2007,Rock,3.10
Pan Amsterdam & GUTS,Ha Chu,Carrot Cake,2020,Hip-Hop/Rap,3.31
The Irrepressibles,Mirror Mirror,In This Shirt,2008,Rock,5.59
Sharon Van Etten,Sharon Van Etten & The Attachment Theory,Live Forever,2025,Indie/Indie Rock,5.66
Sam Fender,People Watching,People Watching,2024,Alternative,5.07
Sam Fender,People Watching,Crumbling Empire,2025,Alternative,5.13
Black Foxxes,The Haar,I Can't Be Left Alone With It,2024,Indie/Indie Rock,6.24
Black Foxxes,The Haar,Carsaig,2024,Indie/Indie Rock,5.45
Black Foxxes,The Haar,Shakey,2025,Indie/Indie Rock,5.20
AMENRA,De Toorn - EP,Heden,2025,Metal,13.51
Lacrimosa,Lament,In einem anderen Leben,2025,Alternative,5.57
Lacrimosa,Lament,Memoria,2025,Alternative,7.06
Coheed and Cambria,The Father of Make Believe,Searching for Tomorrow,2024,-,3.56
Дайте танк (!),Логика - Single,Логика,2025,Psychedelic,2.99
Heartworms,Glutton For Punishment,Jacked,2024,-,4.47
The Murder Capital,Blindness,Can't Pretend To Know,2024,-,2.69
The Murder Capital,Blindness,Born Into The Fight,2025,-,4.60
The Murder Capital,Blindness,Love Of Country,2025,-,6.13
The Horrors,Night Life,The Silence That Remains,2024,Alternative/Gothic Rock,5.71
The Horrors,Night Life,Trial By Fire,2024,Alternative/Gothic Rock,4.01
The Horrors,Night Life,More Than Life,2025,Alternative/Gothic Rock,5.56
The Horrors,Skying,Still Life,2011,Rock/Psychodelic/Neo-Psychedelia,5.35
Doves,Constellations For The Lonely,In The Butterfly House,2025,Alternative,4.17
SASAMI,Blood On the Silver Screen,I'll Be Gone,2025,Alternative,3.48
SASAMI,Blood On the Silver Screen,Honeycrash,2024,Alternative,3.15
The Pineapple Thief,It Leads To This,It Leads to This,2024,Progressive/Modern Prog,4.73
clipping.,Dead Channel Sky,Dominator,2025,-,2.53
Встреча Рыбы,Алая часть,Сезоны,2025,Indie Rock,3.77
