Artist,Album,Track,Year,Genre,Duration (min)
65daysofstatic,Available Data - EP,Available Data V4,2025,Jungle/Drum'n'bass,15.83
65daysofstatic,Available Data - EP,Available Data V5,2025,Jungle/Drum'n'bass,6.67
"Miss Monique, GENESI & Carl Bee",Nomacita - Single,Nomacita,2025,Electronic,2.84
Glass Animals & Mura Masa,Wonderful Nothing (Mura Masa’s Do Ya Thing Tiger Mix) - Single,Wonderful Nothing (Mura Masa’s Do Ya Thing Tiger Mix),2025,Electronic,3.93
Cyhra,Superman - Single,Superman,2024,Metal,3.38
Immersion & SUSS,State Of Motion - Single,State Of Motion,2025,Alternative,4.87
Planetary Ghost,Tabula Rasa - Single,Tabula Rasa,2025,Death Metal/Black Metal,4.38
Astodan,The Guard - Single,The Guard,2025,Metal,3.77
Ballarak & Deborah de Luca,Non Mi Basti Mai - Single,Non Mi Basti Mai,2024,Dance,2.19
Risha & Javier Xicara,Nexo - Single,Nexo,2025,House,3.08
Pop Evil,Wishful Thinking - Single,Wishful Thinking,2025,Metal,4.00
Lounge 2 Function & Monolithic,Function Dub - Single,Function Dub,2025,House,5.83
In the Woods...,Otra,A Misrepresentation Of I,2025,Metal,6.18
Enterprise Earth,Descent into Madness - EP,I. The Descent,2025,Metal,3.77
Animal ДжаZ,В ад - Single,В ад,2025,Alternative,4.81
Paris Paloma,HUNTER (the cacophony) - Single,HUNTER (the cacophony),2025,Alternative,3.60
Dawn Of Solace,Invitation - Single,Fortress,2024,Metal,4.33
Dawn Of Solace,Invitation - Single,Murder,2024,Metal,3.79
TOKYO ROSE & ALEX,FACE OFF - Single,FACE OFF,2025,Electronica,3.52
Деревянные киты,Пятиэтажный дом - Single,Пятиэтажный дом,2025,Alternative,2.32
"Thys, Machinedrum, Holly, Salvador Breed & VIER",Frankfurt - Single,Frankfurt,2025,Dance,4.51
Johnny Hollow,Die for Love - Single,Die for Love,2025,Rock,3.01
Dope Smoker,Sneaky Revo - Single,Sneaky Revo,2025,Rock,3.72
Dope Smoker,Sneaky Revo - Single,Sneaky Revo (Instrumental),2025,Rock,3.72
Summer Of Haze & Outdate Electro,Anthem Of Haze - Single,Anthem Of Haze,2025,Dance,1.76
Ben Rosett,Shadowless - Single,Shadowless,2025,Instrumental,4.03
Последние Танки В Париже,Холодные стены зимы - Single,Холодные стены зимы,2025,Punk,5.76
Stan Kolev,Fervent - Single,Fervent,2025,Dance,7.24
TOKYO ROSE & ALEX,NEW ERA - Single,DARK SUN,2020,Electronica,3.58
TOKYO ROSE & ALEX,NEW ERA - Single,NEW ERA,2020,Electronica,3.46
TOKYO ROSE & ALEX,NEW ERA - Single,DARK SUN (BLOSSO Remix),2020,Electronica,4.32
Free Flow Flava,Zatoichi - Single,Zatoichi,2025,Hip-Hop/Rap,3.02
Wehbba,"""E"" - Single",Enigma,2025,Techno,6.01
Wehbba,"""E"" - Single",Euforia,2025,Techno,5.22
Wehbba,"""E"" - Single",E-Wordscape,2025,Electronica,2.37
Modeplex,Beyond Horizon - Single,Beyond Horizon,2025,Dance,5.59
Modeplex,Beyond Horizon - Single,Beyond Horizon (Baime Remix),2025,Dance,6.06
Arkona,Сестра - Single,Сестра,2025,Metal,6.38
Tommahawk,Unfolding - Single,Unfolding,2025,Techno,3.58
Tommahawk & Thomas Schumacher,Unfolding - Single,Unfolding (Thomas Schumacher Remix),2025,Techno,3.48
Berliner Lvft,Repulsion/Trickster - Single,Repulsion,2025,Alternative,3.07
Berliner Lvft,Repulsion/Trickster - Single,Trickster (feat. Ponomarev Obrazeena Massacre),2025,Alternative,6.07
Dead By April,Brain Tissue - Single,Brain Tissue,2025,Metal,3.96
Встреча Рыбы,Медведь - Single,Медведь,2025,Indie Rock,5.43
Bjørn Riis,Gone - Single,Gone,2025,Rock,8.57
Earthside,Frozen Heart ~ Burning World - Single,Frozen Heart ~ Burning World,2025,Rock,9.01
Head Automatica,Annulment - Single,Annulment,2025,Rock,4.54
Head Automatica,Annulment - Single,Bear The Cross,2024,Rock,5.28
The KVB,Black Is Black - Single,Black Is Black,2025,Electronic,3.97
Boris Brejcha,Reflections - Single,Reflections,2025,Electronic,7.07
Boris Brejcha,Reflections - Single,Bells Of Eternity,2025,Electronic,8.10
Fontaines D.C.,It's Amazing To Be Young - Single,It's Amazing To Be Young,2025,Alternative,3.51
Lamb of God,Children of the Grave - Single,Children of the Grave,2025,Metal,4.80
