Artist,Genres,Popularity,Followers
...And Oceans,black metal; industrial metal; metal,24,27249
40 Watt Sun,slowcore; doom metal; sludge metal; drone metal; post-rock,19,20904
65daysofstatic,post-rock; math rock,39,144281
90 Day Men,math rock; noise rock; post-rock; post-hardcore,12,6348
:Of The Wand And The Moon:,neoclassical; dark ambient,29,33606
:Wumpscut:,ebm; industrial; darkwave; industrial rock; industrial metal,30,63147
[:SITD:],ebm; industrial; darkwave; synthpop,28,28874
A Day To Remember,metalcore; post-hardcore; pop punk; screamo; emo,67,2513555
A Lot Like Birds,post-hardcore; mathcore; math rock; screamo,38,69417
A Perfect Circle,alternative metal,62,2066323
A Place To Bury Strangers,shoegaze; noise rock; post-punk; cold wave; darkwave; neo-psychedelic; dream pop,33,113511
A Pregnant Light,black metal,6,2226
A Sense of Gravity,djent; progressive metal,1,3321
a-ha,new wave; synthpop,70,2892454
A.A. Williams,post-rock,25,29175
Aara,black metal,24,27087
Abbath,black metal; metal,25,137882
Absurd Minds,ebm; industrial; darkwave; synthpop,20,14462
Abul Mogard,drone; ambient; dark ambient; experimental,27,25433
AC/DC,rock; hard rock; classic rock; rock and roll,80,32194529
Accept,heavy metal; speed metal; metal; hard rock; thrash metal,53,1047349
Access to Arasaka,idm; glitch; dark ambient; ambient,15,6952
Actress,idm; ambient; experimental,35,104834
Adrenaline Mob,groove metal,28,62345
Adrian Younge,,39,51978
Aerosmith,classic rock; rock,74,15993028
AFX,idm,28,101019
Agalloch,black metal; folk metal; doom metal,39,200827
Agatha Christie,,45,372567
Agent Fresco,progressive metal; progressive rock; djent,26,41126
Agnostic Front,hardcore punk; hardcore; punk; skate punk,40,200106
Agriculture,black metal,39,24810
Ah Cama-Sotz,dark ambient; industrial; noise music; ebm; idm; drone,8,4565
Ahab,doom metal; sludge metal; drone metal; stoner metal; drone,22,48402
Aho Ssan,experimental; drone; idm,22,6172
AIGEL,,42,119582
Airbag,progressive rock; progressive metal; art rock,33,56616
Airbourne,hard rock,57,854004
Al Wootton,dub techno; breakbeat; uk funky; uk garage,19,9615
Alai Oli,,23,17141
Alanis Morissette,,66,3170009
Alcest,shoegaze; post-rock; black metal,45,332149
Alestorm,folk metal; power metal; sea shanties; metal; medieval metal; celtic rock,53,718905
Alexisonfire,post-hardcore; screamo; emo; metalcore,53,457578
Alfa Mist,nu jazz; jazz rap; jazz fusion; jazz; indie jazz,51,298773
Alice Cooper,glam rock; hard rock; glam metal; proto-punk; classic rock,62,4034281
Alice Glass,witch house; hyperpop,37,230794
Alice In Chains,grunge; post-grunge,74,6211297
Alien Weaponry,groove metal; metal; thrash metal; folk metal,38,190367
Alison Goldfrapp,,44,40742
All Pigs Must Die,grindcore; mathcore; hardcore punk; hardcore; sludge metal,16,32076
All That Remains,metalcore; metal,55,1449083
All Them Witches,stoner rock; stoner metal; neo-psychedelic; psychedelic rock; space rock; sludge metal; blues rock,51,347640
All Things Fallen,progressive metal; symphonic metal,6,2468
Allen Lande,power metal; progressive metal; arena rock; aor; symphonic metal; heavy metal,32,57893
Allie X,,50,869535
AloeVera,,35,39606
Alphaville,synthpop,69,1069664
Altar Of Plagues,black metal; drone metal; sludge metal,16,38340
